questions asked,auc
1,0.5
6,0.7
11,0.62
16,0.8400000000000001
21,0.76
26,1.0
31,1.0
36,1.0
41,1.0
46,1.0
51,1.0
56,1.0
61,1.0
66,1.0
71,1.0
76,1.0
81,1.0
86,1.0
91,1.0
96,1.0
101,1.0
106,1.0
111,1.0
116,1.0
121,1.0
126,1.0
131,1.0
136,1.0
141,1.0
146,1.0
151,1.0
156,1.0
161,1.0
166,1.0
171,1.0
176,1.0
181,1.0
186,1.0
191,1.0
196,1.0
201,1.0
206,1.0
1,0.8
6,0.7
11,0.8
16,0.7600000000000001
21,0.8400000000000001
26,0.92
31,0.96
36,1.0
41,1.0
46,1.0
51,1.0
56,0.92
61,0.92
66,0.92
71,0.92
76,0.92
81,0.92
86,0.92
91,0.92
96,0.92
101,0.92
106,0.96
111,0.96
116,0.96
121,0.92
126,0.92
131,0.92
136,0.92
141,0.88
146,0.96
151,0.96
156,0.92
161,0.92
166,0.92
171,0.92
176,0.92
181,0.94
186,0.88
191,0.96
196,0.88
201,0.92
206,0.92
1,0.5
6,0.64
11,0.8
16,0.52
21,0.88
26,0.8800000000000001
31,0.8400000000000001
36,0.8400000000000001
41,0.8200000000000001
46,0.8400000000000001
51,0.8
56,0.96
61,1.0
66,0.96
71,0.96
76,0.96
81,0.96
86,0.96
91,0.96
96,0.96
101,0.92
106,0.96
111,0.96
116,0.96
121,0.92
126,0.96
131,0.96
136,0.92
141,0.96
146,0.92
151,0.92
156,0.96
161,0.92
166,0.92
171,0.96
176,0.96
181,0.92
186,0.96
191,0.92
196,0.96
201,0.96
206,0.96
1,0.4
6,0.58
11,0.4399999999999999
16,0.68
21,0.68
26,0.76
31,0.88
36,0.86
41,0.84
46,0.88
51,0.88
56,0.92
61,1.0
66,1.0
71,1.0
76,1.0
81,1.0
86,1.0
91,1.0
96,1.0
101,1.0
106,1.0
111,1.0
116,1.0
121,1.0
126,1.0
131,0.96
136,1.0
141,1.0
146,1.0
151,1.0
156,1.0
161,1.0
166,1.0
171,1.0
176,1.0
181,1.0
186,1.0
191,1.0
196,1.0
201,1.0
206,1.0
1,0.6
6,0.6
11,0.68
16,0.6800000000000002
21,0.94
26,0.9
31,1.0
36,1.0
41,1.0
46,1.0
51,1.0
56,1.0
61,1.0
66,0.96
71,0.98
76,1.0
81,1.0
86,0.98
91,0.8600000000000001
96,1.0
101,1.0
106,1.0
111,0.98
116,0.8400000000000001
121,1.0
126,1.0
131,0.94
136,0.98
141,1.0
146,1.0
151,0.98
156,0.98
161,1.0
166,1.0
171,0.9
176,1.0
181,0.94
186,0.92
191,0.98
196,0.8400000000000001
201,0.86
206,0.94
1,0.7200000000000002
6,0.6200000000000001
11,0.7600000000000001
16,0.56
21,0.7600000000000001
26,0.74
31,0.8800000000000001
36,0.8400000000000001
41,0.8200000000000001
46,0.9
51,0.8200000000000001
56,0.8400000000000001
61,0.7200000000000001
66,0.78
71,0.88
76,0.86
81,0.88
86,0.86
91,0.92
96,0.78
101,0.88
106,0.88
111,0.86
116,0.8200000000000001
121,0.78
126,0.88
131,0.86
136,0.8
141,0.7000000000000001
146,0.9
151,0.74
156,0.78
161,0.6600000000000001
166,0.68
171,0.7200000000000001
176,0.7800000000000001
181,0.8
186,0.9
191,0.7200000000000002
196,0.78
201,0.8
206,0.8200000000000001
1,0.4
6,0.64
11,0.4
16,0.52
21,0.54
26,0.56
31,0.78
36,0.84
41,0.8400000000000001
46,0.88
51,0.88
56,0.92
61,0.96
66,1.0
71,1.0
76,1.0
81,0.96
86,1.0
91,1.0
96,1.0
101,0.92
106,0.96
111,0.92
116,0.96
121,0.96
126,0.92
131,0.92
136,0.92
141,0.92
146,0.84
151,0.84
156,0.84
161,0.88
166,0.84
171,0.84
176,0.84
181,0.92
186,0.84
191,0.9
196,0.84
201,0.86
206,0.88
1,0.5599999999999999
6,0.74
11,0.62
16,0.68
21,0.8
26,0.72
31,0.76
36,0.8
41,0.78
46,0.8200000000000001
51,0.8400000000000001
56,0.9
61,0.96
66,0.86
71,0.94
76,0.86
81,0.96
86,0.86
91,0.86
96,0.88
101,0.88
106,0.88
111,0.8600000000000001
116,0.8600000000000001
121,0.8800000000000001
126,0.8
131,0.8800000000000001
136,0.94
141,0.8800000000000001
146,0.8800000000000001
151,0.8600000000000001
156,0.8600000000000001
161,0.8600000000000001
166,0.8400000000000001
171,0.8600000000000001
176,0.8600000000000001
181,0.8800000000000001
186,0.8600000000000001
191,0.8800000000000001
196,0.8800000000000001
201,0.8800000000000001
206,0.8600000000000001
1,0.7
6,0.46
11,0.32
16,0.68
21,0.7400000000000001
26,0.76
31,0.74
36,0.8
41,0.8400000000000001
46,0.8400000000000001
51,0.88
56,0.88
61,0.88
66,0.8400000000000001
71,0.88
76,0.88
81,0.8400000000000001
86,0.8400000000000001
91,0.88
96,0.88
101,0.88
106,0.88
111,0.88
116,0.88
121,0.88
