questions asked,mean,var,lower,upper
1,0.5684500876373941,0.005562340737749417,0.5406010465590018,0.5962991287157867
4,0.6840972492724916,0.014954748619741465,0.6384335585805709,0.7297609399644123
7,0.7169061138475483,0.01780173201564799,0.6670850977650287,0.7667271299300682
10,0.8071639637261413,0.009888886794092467,0.770031381304846,0.8442965461474365
13,0.8657345244290549,0.010816380948209327,0.8268996023256997,0.90456944653241
16,0.8830150403241218,0.015512010096747107,0.836508343929515,0.9295217367187288
19,0.8738759803862218,0.010400740161497583,0.8357945217852532,0.9119574389871903
22,0.8986427257252968,0.009841348968683902,0.8615995026419109,0.9356859488086829
25,0.9241549087021224,0.007231583078198199,0.8924009305946679,0.9559088868095771
28,0.9418993472648833,0.005575793255415718,0.9140166500791281,0.9697820444506388
31,0.9521362523116909,0.002203494293755559,0.9346080484277376,0.9696644561956443
34,0.9662630337785136,0.0015056104071550188,0.9517740557073914,0.9807520118496361
37,0.9853918256828178,0.0004589838179959808,0.9773920071016815,0.9933916442639541
40,0.9818485856630852,0.00048752892328047436,0.9736037568272526,0.9900934144989175
43,0.9849728373855872,0.0003056526955263535,0.9784446055927223,0.991501069178452
