questions asked,mean,var,lower,upper
1,0.7355170920360808,0.013418795873848822,0.6896925015931741,0.7813416824789876
4,0.9190955511755936,0.001892260818176335,0.9018874751021354,0.9363036272490516
7,0.9533886996618365,0.0006988819280002061,0.9429308179771184,0.9638465813465548
10,0.9690076234907602,0.0005450213952758953,0.9597723748061431,0.9782428721753771
13,0.9802058106124478,0.0003077900979393684,0.9732656560788138,0.9871459651460817
16,0.9844085665294969,0.0003238391968908934,0.9772897708890762,0.9915273621699177
19,0.9880954488458612,7.613534344260567e-05,0.9846437334910688,0.9915471642006529
22,0.9918307969619075,8.253665617764604e-05,0.9882369030417026,0.995424690882112
25,0.9948780913254269,3.7606591171134464e-05,0.9924521862488568,0.9973039964019969
28,0.9959508828415247,2.797153129472886e-05,0.9938586985351665,0.9980430671478826
31,0.9978078082733547,8.707848889422365e-06,0.9966404685593391,0.9989751479873703
34,0.9985570739700557,4.9787745426878186e-06,0.99767439445235,0.9994397534877612
37,0.9980168863873258,1.9834915534417105e-05,0.9962550848013181,0.9997786879733335
40,0.9989662669821795,4.3980331903850065e-06,0.9981366625374951,0.9997958714268634
43,0.998977367047773,3.859355554481453e-06,0.9982002271346765,0.9997545069608694
