questions asked,mean,var,lower,upper
1,0.5170314134470709,0.0050620583053118395,0.4904642600929446,0.5435985668011976
6,0.5926880338256056,0.00879725110340297,0.5576649047024043,0.627711162948807
11,0.5771547691257213,0.006464640327738667,0.5471318003448379,0.6071777379066045
16,0.6549520168903429,0.024486858633079808,0.5965203886931097,0.7133836450875762
21,0.7309408668209919,0.019000472539634126,0.6794697428424212,0.7824119907995626
26,0.7864645585265106,0.028141595741102792,0.7238239726357463,0.849105144417275
31,0.7909309879418789,0.0360283116784627,0.7200543013314776,0.8618076745522799
36,0.8154269814445491,0.02775577398658667,0.7532172792534747,0.8776366836356232
41,0.8433094939743498,0.02087853153664103,0.7893545276209958,0.8972644603277035
46,0.8483449699312948,0.018523456124093222,0.7975240570846396,0.8991658827779498
51,0.8481772308398912,0.017218467332898255,0.7991791921152546,0.8971752695645278
56,0.8545588082018519,0.019565291640941267,0.8023282564021413,0.9067893600015625
61,0.8407538294028399,0.020072083977428986,0.7878511481587028,0.8936565106469775
66,0.8295907167822154,0.022156267862320375,0.7740092818580446,0.8851721517063864
71,0.8297434357106205,0.02504276187328032,0.7706522692485844,0.8888346021726565
76,0.8364267638198559,0.02602702051039444,0.7761855549603698,0.8966679726793421
81,0.8336598185512734,0.027321361063211213,0.771938866502049,0.8953807706004977
86,0.8400628861585758,0.023495949583956035,0.7828257426102347,0.8973000297069167
91,0.8543782203320152,0.019345360115442654,0.8024420574260432,0.9063143832379864
96,0.8634871053682289,0.019949326806732785,0.8107464437545946,0.916227766981863
101,0.8859120841216279,0.01729251064922616,0.8368088070708128,0.9350153611724428
