x,mean,ci_lower,ci_upper,group
0.0,1.6687056894279149,1.589723341662363,1.74767593976737,random_diss
1.0,1.9736676602829253,1.7067110197149464,2.2532224878375926,random_diss
2.0,1.8525956656293043,1.6545868648510567,2.0530374165007403,random_diss
3.0,1.700310593633357,1.544330032676798,1.843815106634055,random_diss
4.0,1.6635220021039518,1.5027748988370673,1.8334059189058516,random_diss
5.0,1.7232654381872372,1.554969989371147,1.9012132634502104,random_diss
6.0,1.808818559646193,1.9803858182603007,1.620230556593215,random_diss
7.0,1.7849330365966716,1.6301092965081385,1.9424528954727278,random_diss
8.0,1.7611613566265203,1.6281543932605598,1.9039081120926766,random_diss
9.0,1.717524456234718,1.569348290516865,1.8777341006849553,random_diss
10.0,1.7337061550612471,1.6004368700005256,1.880917016288911,random_diss
11.0,1.8017385727317585,1.6441453502942946,1.9623473490754464,random_diss
12.0,1.7408873058610688,1.8784659786705302,1.614017798343744,random_diss
13.0,1.825764110561773,1.7036702517554405,1.957815961075637,random_diss
14.0,1.8019372360209043,1.6847398109885865,1.919965716478545,random_diss
15.0,1.8061159717622601,1.700366498125438,1.918151405761382,random_diss
16.0,1.7728680495981624,1.6791649909768984,1.879729585978683,random_diss
17.0,1.7620226627157192,1.6477395159748023,1.8776464747595158,random_diss
18.0,1.7671846538962341,1.8821595455607674,1.6650075724114102,random_diss
19.0,1.751200036890591,1.650953645294243,1.846687095679274,random_diss
20.0,1.7622968351580384,1.6683523804522955,1.860503801304411,random_diss
21.0,1.768489088775358,1.6782738895666363,1.8586093903348355,random_diss
22.0,1.7750422027479609,1.6954011678939915,1.8584130582042926,random_diss
23.0,1.7723643905276956,1.6952431908751098,1.8532251936995188,random_diss
24.0,1.8029075243786874,1.7203606849506272,1.879288785129575,random_diss
25.0,1.8010310416417248,1.8766114852997908,1.7257782275359081,random_diss
26.0,1.798792037424711,1.7256540398368387,1.8735291313513545,random_diss
27.0,1.7896250944769094,1.7222958926241123,1.8586305370091787,random_diss
28.0,1.7948864618754754,1.7305136605692948,1.859974972856989,random_diss
29.0,1.7940075167358605,1.725301696849149,1.8605304242273595,random_diss
30.0,1.7892753787172908,1.7199864012868482,1.8611136666213164,random_diss
31.0,1.7960539773592061,1.866912276934588,1.731844686189905,random_diss
32.0,1.828144011391032,1.7622266437735836,1.8950513114262153,random_diss
33.0,1.8054881756653292,1.7433850821451393,1.867630332825781,random_diss
34.0,1.7963613962186944,1.7308412358276,1.8564659991944956,random_diss
35.0,1.7876630831111473,1.724451261205455,1.8517966932686245,random_diss
36.0,1.7415856687862985,1.6743162847824626,1.8112153056329483,random_diss
37.0,1.74569831610927,1.8161105892314966,1.6740621426819546,random_diss
38.0,1.7189343004427229,1.7915827931464976,1.6468898987465381,random_diss
39.0,1.7151780663479257,1.6468828520357717,1.7804005943020016,random_diss
40.0,1.7132109371718414,1.6476937959283666,1.7838642202129487,random_diss
41.0,1.708132969395772,1.644837332666046,1.7708809229157265,random_diss
42.0,1.7123184108741973,1.6558520423279155,1.776240821339895,random_diss
43.0,1.7075512498055727,1.6505918066728413,1.7706609690346449,random_diss
44.0,1.7055118132459142,1.760314334188975,1.6541425359927842,random_diss
45.0,1.7284249642912712,1.6669669086450196,1.7855078117229308,random_diss
46.0,1.740112534675675,1.6832221863672565,1.7974794541673478,random_diss
47.0,1.7358490794453119,1.6814265193205096,1.791597505375888,random_diss
48.0,1.7252287886668636,1.6731649862229792,1.7743421074719612,random_diss
49.0,1.722403838592124,1.6736074422508083,1.7780966145993684,random_diss
50.0,1.7282384395107624,1.6740466832387302,1.775167305077221,random_diss
51.0,1.731785483976856,1.6829556814672295,1.778367319644117,random_diss
52.0,1.7241257958336509,1.7678019038614035,1.6773513247893803,random_diss
53.0,1.7407800307271226,1.6866656075888564,1.7910511192924705,random_diss
54.0,1.7524198975788003,1.6979495584193336,1.800009938092255,random_diss
55.0,1.7437147552463093,1.688308582868809,1.7962948872053313,random_diss
56.0,1.742546043912818,1.6873855036737075,1.7987009340873807,random_diss
57.0,1.7415886878477143,1.6885558346687888,1.7917916056078813,random_diss
58.0,1.7488446838089942,1.7963539324610847,1.698780125588603,random_diss
59.0,1.7449580824094681,1.6867473082190716,1.79784326487805,random_diss
60.0,1.7648011806910682,1.7071017050076889,1.8134377861873128,random_diss
61.0,1.7582603072584213,1.7075262798849817,1.8046379554006358,random_diss
62.0,1.7828539181328367,1.7325872030153378,1.831452628325621,random_diss
63.0,1.771578561497344,1.7246460307505591,1.8190319630006453,random_diss
64.0,1.7838769817472755,1.8314299540230394,1.7352875847477354,random_diss
65.0,1.794149141295525,1.84713466415224,1.7436956506011683,random_diss
66.0,1.799488162909925,1.7461629875776108,1.847396043903984,random_diss
67.0,1.7962524508073698,1.7395758632510459,1.8441687933431112,random_diss
68.0,1.8006499481269453,1.744273102970572,1.8509221028023513,random_diss
69.0,1.7864223946685864,1.730097297711093,1.836970386514092,random_diss
70.0,1.7872293504444723,1.738735224855002,1.8357490776409169,random_diss
71.0,1.7840961681630858,1.7347443242050116,1.8312956735340515,random_diss
72.0,1.7854707010264188,1.8301914193037285,1.733023738357642,random_diss
73.0,1.7821226308110876,1.7316023894849162,1.8246226492252462,random_diss
74.0,1.7853888290892186,1.7406680766572995,1.8299417832420433,random_diss
75.0,1.7989716244194622,1.7457097447887802,1.844390677148535,random_diss
76.0,1.785497382874783,1.7372290741271816,1.8307352678865991,random_diss
77.0,1.7785522055602498,1.7327586471998564,1.8241424174914083,random_diss
78.0,1.7808960974529875,1.8219175858325505,1.737038163949328,random_diss
79.0,1.7736986729625184,1.7299872736658737,1.8148385472312392,random_diss
80.0,1.7782283853346812,1.7370539137138,1.8222196806462903,random_diss
81.0,1.7767608167268858,1.7379976484062343,1.813845303372233,random_diss
82.0,1.7820444132517994,1.739265276817372,1.8249003648543791,random_diss
83.0,1.782459928374457,1.7413607050650788,1.8228321049523202,random_diss
84.0,1.7807703832771142,1.7436937692420968,1.8202292261837592,random_diss
85.0,1.7808932969294395,1.8223788003148684,1.7419300502436255,random_diss
86.0,1.7796677832025758,1.7387602593904983,1.8206858320004058,random_diss
87.0,1.7895795005233814,1.7477441521612935,1.83165178798342,random_diss
88.0,1.790918152477238,1.7505627964066446,1.837565087906226,random_diss
89.0,1.7876595309422716,1.745170794466217,1.8278290102693988,random_diss
