x,mean,ci_lower,ci_upper
1.0,0.598,0.51,0.68605
6.0,0.6240000000000001,0.576,0.6679999999999999
11.0,0.588,0.4799499999999999,0.694
16.0,0.612,0.504,0.708
21.0,0.7620000000000001,0.692,0.826
26.0,0.8240000000000001,0.7399,0.90605
31.0,0.8800000000000001,0.82,0.9359999999999999
36.0,0.898,0.8460000000000001,0.952
41.0,0.8940000000000001,0.844,0.95
46.0,0.916,0.87595,0.96
51.0,0.9099999999999999,0.8600000000000001,0.95805
56.0,0.9339999999999999,0.9020000000000001,0.9640000000000001
61.0,0.944,0.8840000000000001,0.9879999999999999
66.0,0.932,0.884,0.974
71.0,0.9560000000000001,0.9259999999999999,0.982
76.0,0.9480000000000001,0.9119999999999999,0.98205
81.0,0.952,0.9199999999999999,0.984
86.0,0.942,0.9,0.9800000000000001
91.0,0.9400000000000001,0.9039999999999999,0.974
96.0,0.942,0.89195,0.984
101.0,0.9400000000000001,0.9118999999999999,0.9720000000000001
106.0,0.952,0.9200000000000002,0.9801
111.0,0.942,0.906,0.974
116.0,0.9280000000000002,0.884,0.966
121.0,0.9339999999999999,0.89,0.976
126.0,0.9359999999999999,0.8920000000000001,0.976
131.0,0.9280000000000002,0.8960000000000001,0.96
136.0,0.932,0.8880000000000001,0.9720000000000001
141.0,0.914,0.8520000000000001,0.9719999999999999
146.0,0.932,0.89,0.9719999999999999
151.0,0.906,0.8460000000000001,0.9620500000000001
156.0,0.9099999999999999,0.8540000000000001,0.962
161.0,0.9,0.8240000000000001,0.96
166.0,0.8960000000000001,0.8320000000000001,0.9521999999999998
171.0,0.898,0.84395,0.952
176.0,0.9120000000000001,0.8539999999999999,0.968
181.0,0.916,0.8620000000000001,0.96
186.0,0.9120000000000001,0.8640000000000001,0.96
191.0,0.9120000000000001,0.8559500000000001,0.9640000000000001
196.0,0.8940000000000001,0.8380000000000001,0.944
201.0,0.9040000000000001,0.852,0.9520500000000002
206.0,0.914,0.8640000000000001,0.96
