questions asked,auc
1,0.5666666666666667
6,0.608888888888889
11,0.7822222222222222
16,0.8622222222222222
21,0.9088888888888887
26,0.9111111111111112
31,0.9155555555555556
36,0.9266666666666667
41,0.9555555555555556
46,0.9511111111111112
51,0.9244444444444444
56,0.9466666666666668
61,0.9466666666666668
66,0.9466666666666668
71,0.9444444444444444
76,0.9422222222222222
81,0.9688888888888888
86,0.9822222222222222
91,0.9844444444444445
96,1.0
101,1.0
106,1.0
111,1.0
116,1.0
121,1.0
126,1.0
131,1.0
136,1.0
141,1.0
146,1.0
151,1.0
156,1.0
161,1.0
166,1.0
171,1.0
176,1.0
181,1.0
186,1.0
191,1.0
196,1.0
201,1.0
206,1.0
1,0.5266666666666667
6,0.5800000000000001
11,0.7
16,0.7644444444444445
21,0.7977777777777779
26,0.88
31,0.8799999999999999
36,0.8977777777777778
41,0.908888888888889
46,0.8844444444444444
51,0.88
56,0.9066666666666668
61,0.9466666666666668
66,0.96
71,0.9688888888888888
76,0.9911111111111112
81,0.9911111111111112
86,1.0
91,1.0
96,1.0
101,1.0
106,1.0
111,1.0
116,1.0
121,1.0
126,1.0
131,1.0
136,1.0
141,1.0
146,1.0
151,1.0
156,1.0
161,1.0
166,1.0
171,1.0
176,1.0
181,1.0
186,1.0
191,1.0
196,1.0
201,1.0
206,1.0
1,0.5377777777777778
6,0.808888888888889
11,0.8422222222222222
16,0.9222222222222222
21,0.9177777777777778
26,0.96
31,0.96
36,0.9555555555555556
41,0.96
46,0.9466666666666668
51,0.9644444444444444
56,0.9733333333333334
61,0.9822222222222222
66,0.9822222222222222
71,0.9822222222222222
76,0.9844444444444445
81,0.9955555555555556
86,1.0
91,1.0
96,1.0
101,1.0
106,1.0
111,1.0
116,1.0
121,1.0
126,1.0
131,1.0
136,1.0
141,1.0
146,1.0
151,1.0
156,1.0
161,1.0
166,1.0
171,1.0
176,1.0
181,1.0
186,1.0
191,1.0
196,1.0
201,1.0
206,1.0
1,0.6
6,0.7
11,0.7311111111111112
16,0.6311111111111112
21,0.7311111111111112
26,0.8022222222222222
31,0.8644444444444445
36,0.8266666666666667
41,0.8844444444444445
46,0.8822222222222222
51,0.9022222222222224
56,0.9466666666666668
61,0.997777777777778
66,1.0
71,1.0
76,0.9911111111111112
81,0.9955555555555556
86,0.9977777777777778
91,1.0
96,1.0
101,0.9955555555555556
106,0.9911111111111112
111,0.9911111111111112
116,0.9911111111111112
121,0.9911111111111112
126,0.9955555555555556
131,0.9911111111111112
136,0.9866666666666668
141,0.9955555555555556
146,1.0
151,1.0
156,1.0
161,1.0
166,1.0
171,1.0
176,1.0
181,1.0
186,1.0
191,1.0
196,1.0
201,1.0
206,1.0
1,0.5
6,0.6555555555555556
11,0.7577777777777778
16,0.7711111111111111
21,0.7955555555555556
26,0.8711111111111112
31,0.9222222222222224
36,0.9088888888888887
41,0.9177777777777778
46,0.9288888888888888
51,0.92
56,0.9444444444444444
61,0.9644444444444444
66,0.9755555555555556
71,0.9777777777777776
76,0.9733333333333332
81,0.9911111111111112
86,0.9911111111111112
91,0.9955555555555556
96,1.0
101,1.0
106,1.0
111,1.0
116,1.0
121,1.0
126,1.0
131,1.0
136,1.0
141,1.0
146,1.0
151,1.0
156,1.0
161,1.0
166,1.0
171,1.0
176,1.0
181,1.0
186,1.0
191,1.0
196,1.0
201,1.0
206,1.0
1,0.5377777777777778
6,0.6888888888888889
11,0.8377777777777778
16,0.7711111111111111
21,0.7644444444444445
26,0.8533333333333333
31,0.9111111111111112
36,0.9088888888888887
41,0.9288888888888888
46,0.9511111111111112
51,0.9688888888888888
56,0.9822222222222222
61,0.9866666666666668
66,0.9866666666666668
71,0.9888888888888888
76,0.9911111111111112
81,0.9955555555555556
86,0.9866666666666668
91,0.9911111111111112
96,1.0
101,0.9955555555555556
106,0.9955555555555556
111,0.9888888888888888
116,0.991111111111111
121,0.991111111111111
126,0.9955555555555556
131,1.0
136,1.0
141,1.0
146,1.0
151,1.0
156,1.0
161,1.0
166,1.0
171,1.0
176,1.0
181,1.0
186,1.0
191,1.0
196,1.0
201,1.0
206,1.0
1,0.4577777777777778
6,0.5622222222222222
11,0.7933333333333333
16,0.8333333333333333
21,0.7844444444444444
26,0.8622222222222222
31,0.9288888888888888
36,0.9222222222222224
41,0.9266666666666667
46,0.9311111111111112
51,0.9422222222222222
56,0.9533333333333333
61,0.9466666666666668
66,0.96
71,0.9444444444444444
76,0.9911111111111112
81,1.0
86,1.0
91,1.0
96,1.0
101,1.0
106,1.0
111,1.0
116,1.0
121,1.0
126,1.0
131,1.0
136,1.0
141,1.0
146,1.0
151,1.0
156,1.0
161,1.0
166,1.0
171,1.0
176,1.0
181,1.0
186,1.0
191,1.0
196,1.0
201,1.0
206,1.0
1,0.5688888888888889
6,0.5844444444444444
11,0.7599999999999999
16,0.7822222222222223
21,0.8688888888888889
26,0.8511111111111112
31,0.88
36,0.8844444444444444
41,0.8755555555555555
46,0.8711111111111112
51,0.8999999999999999
56,0.8688888888888888
61,0.8955555555555555
66,0.94
71,0.9644444444444444
76,0.9933333333333334
81,0.9955555555555556
86,0.9955555555555556
91,1.0
96,1.0
101,1.0
106,0.9955555555555556
111,0.9955555555555556
116,0.9955555555555556
121,0.9955555555555556
126,0.991111111111111
131,0.9911111111111112
136,0.9911111111111112
141,0.9911111111111112
146,0.9911111111111112
151,0.9955555555555556
156,0.9955555555555556
161,0.9955555555555556
166,1.0
171,0.9955555555555556
176,1.0
181,1.0
186,1.0
191,1.0
196,1.0
201,1.0
206,1.0
1,0.6444444444444445
6,0.5933333333333334
11,0.6444444444444445
16,0.7222222222222222
21,0.7311111111111112
26,0.7244444444444443
31,0.7844444444444445
36,0.8288888888888889
41,0.8155555555555555
46,0.8355555555555556
51,0.888888888888889
56,0.9088888888888887
61,0.9355555555555556
66,0.9866666666666668
71,0.9733333333333332
76,0.9911111111111112
81,0.9933333333333332
86,1.0
91,1.0
96,1.0
101,1.0
106,1.0
111,0.9955555555555556
116,0.9955555555555556
121,0.9955555555555556
126,0.9955555555555556
131,1.0
136,1.0
141,1.0
146,1.0
151,1.0
156,1.0
161,1.0
166,1.0
171,1.0
176,1.0
181,1.0
186,1.0
191,1.0
196,1.0
201,1.0
206,1.0
1,0.5377777777777777
6,0.4888888888888889
11,0.6088888888888888
16,0.851111111111111
21,0.8777777777777778
26,0.9133333333333332
31,0.8555555555555556
36,0.8533333333333333
41,0.8555555555555556
46,0.8555555555555555
51,0.8644444444444446
56,0.9022222222222224
61,0.9333333333333332
66,0.9644444444444444
71,0.9666666666666668
76,0.9711111111111111
81,0.9822222222222222
86,0.9933333333333332
91,1.0
96,1.0
101,1.0
106,1.0
111,1.0
116,1.0
121,1.0
126,1.0
131,1.0
136,1.0
141,1.0
146,1.0
151,0.9977777777777778
156,1.0
161,0.9955555555555556
166,0.997777777777778
171,0.997777777777778
176,0.997777777777778
181,1.0
186,1.0
191,1.0
196,1.0
201,1.0
206,1.0
