questions asked,auc
1,0.5
6,0.42
11,0.6799999999999999
16,0.6799999999999999
21,0.6799999999999999
26,0.88
31,1.0
36,0.88
41,0.88
46,0.9
51,0.92
56,0.92
61,0.9600000000000001
66,0.9600000000000001
71,1.0
76,1.0
81,1.0
86,1.0
91,1.0
96,1.0
101,1.0
106,0.9600000000000001
111,0.9600000000000001
116,0.9600000000000001
121,0.9600000000000001
126,0.9600000000000001
131,0.9600000000000001
136,0.92
141,0.9600000000000001
146,0.9600000000000001
151,0.92
156,0.9400000000000001
161,0.9600000000000001
166,0.9600000000000001
171,0.92
176,0.92
181,0.88
186,0.88
191,0.92
196,0.88
201,0.92
206,0.9600000000000001
