questions asked,auc
1,0.5288888888888889
6,0.5577777777777777
11,0.8333333333333334
16,0.8266666666666667
21,0.84
26,0.9044444444444444
31,0.9511111111111112
36,0.94
41,0.9711111111111111
46,0.9555555555555556
51,0.9488888888888888
56,0.9733333333333332
61,0.9822222222222222
66,0.9733333333333334
71,0.9866666666666668
76,0.9866666666666668
81,0.9866666666666668
86,0.9866666666666668
91,0.9955555555555556
96,0.9866666666666668
101,0.9866666666666668
106,0.9822222222222222
111,0.9866666666666668
116,0.9777777777777776
121,0.9866666666666668
126,0.9911111111111112
131,0.9866666666666668
136,0.9888888888888888
141,0.9844444444444445
146,0.9911111111111112
151,0.9933333333333332
156,0.9822222222222222
161,0.9844444444444445
166,0.9822222222222222
171,0.9866666666666668
176,0.9866666666666668
181,0.9822222222222222
186,0.9866666666666668
191,0.9822222222222222
196,0.9866666666666668
201,0.9777777777777776
206,0.98
1,0.66
6,0.5777777777777777
11,0.7155555555555555
16,0.8533333333333333
21,0.8666666666666667
26,0.9155555555555556
31,0.9644444444444444
36,0.9688888888888888
41,0.9733333333333334
46,0.9622222222222222
51,0.9444444444444444
56,0.9533333333333333
61,0.9555555555555556
66,0.96
71,0.9733333333333334
76,0.9822222222222222
81,0.9755555555555556
86,0.9733333333333332
91,0.98
96,0.9733333333333332
101,0.9777777777777776
106,0.9822222222222222
111,0.9866666666666668
116,1.0
121,0.9911111111111112
126,0.9844444444444445
131,0.9888888888888888
136,0.9822222222222222
141,0.9822222222222222
146,0.9822222222222222
151,0.9866666666666668
156,0.9888888888888888
161,0.9866666666666668
166,0.9822222222222222
171,0.98
176,0.9822222222222222
181,0.9844444444444445
186,0.9822222222222222
191,0.9822222222222222
196,0.9822222222222222
201,0.9822222222222222
206,0.9844444444444445
1,0.6066666666666666
6,0.7177777777777777
11,0.8266666666666667
16,0.9
21,0.9466666666666668
26,0.9666666666666668
31,0.9933333333333332
36,0.9777777777777776
41,0.9333333333333332
46,0.96
51,0.9622222222222222
56,0.94
61,0.9355555555555556
66,0.9511111111111112
71,0.9355555555555556
76,0.9511111111111112
81,0.9488888888888888
86,0.9466666666666668
91,0.9511111111111112
96,0.9488888888888888
101,0.928888888888889
106,0.9555555555555556
111,0.9488888888888888
116,0.9555555555555556
121,0.9511111111111112
126,0.9333333333333332
131,0.931111111111111
136,0.9466666666666668
141,0.9488888888888888
146,0.96
151,0.9422222222222224
156,0.9422222222222222
161,0.9533333333333334
166,0.9533333333333334
171,0.9577777777777778
176,0.9422222222222222
181,0.9577777777777776
186,0.9511111111111112
191,0.96
196,0.96
201,0.96
206,0.9533333333333334
1,0.5333333333333333
6,0.6088888888888889
11,0.8733333333333333
16,0.9244444444444444
21,0.9577777777777778
26,1.0
31,0.9866666666666668
36,0.9866666666666668
41,0.9911111111111112
46,0.9955555555555556
51,0.9933333333333334
56,0.9888888888888888
61,0.9955555555555556
66,0.997777777777778
71,1.0
76,1.0
81,1.0
86,1.0
91,1.0
96,1.0
101,1.0
106,1.0
111,1.0
116,1.0
121,1.0
126,1.0
131,0.9955555555555554
136,0.9955555555555556
141,0.9888888888888888
146,1.0
151,0.9955555555555556
156,1.0
161,0.9955555555555556
166,1.0
171,0.9955555555555556
176,0.9955555555555556
181,0.9955555555555556
186,1.0
191,1.0
196,1.0
201,0.9977777777777778
206,0.9955555555555556
1,0.48
6,0.5599999999999999
11,0.7111111111111111
16,0.5888888888888889
21,0.74
26,0.8111111111111111
31,0.9422222222222222
36,0.9066666666666668
41,0.9377777777777778
46,0.9355555555555556
51,0.9155555555555556
56,0.9377777777777778
61,0.9333333333333332
66,0.9377777777777778
71,0.9244444444444444
76,0.9288888888888888
81,0.9155555555555556
86,0.928888888888889
91,0.92
96,0.9133333333333332
101,0.9466666666666668
106,0.9288888888888888
111,0.9355555555555556
116,0.9511111111111112
121,0.9266666666666666
126,0.9377777777777778
131,0.9377777777777778
136,0.9355555555555556
141,0.9377777777777776
146,0.9288888888888888
151,0.9377777777777778
156,0.9333333333333332
161,0.9333333333333332
166,0.9422222222222222
171,0.928888888888889
176,0.9377777777777778
181,0.9377777777777778
186,0.9355555555555556
191,0.9333333333333332
196,0.9333333333333332
201,0.94
206,0.9355555555555556
1,0.3866666666666666
6,0.4688888888888888
11,0.8511111111111112
16,0.8755555555555556
21,0.8822222222222222
26,0.9044444444444444
31,0.9222222222222224
36,0.9377777777777778
41,0.9133333333333332
46,0.9244444444444444
51,0.9244444444444444
56,0.9044444444444444
61,0.9422222222222222
66,0.9466666666666668
71,0.9488888888888888
76,0.9511111111111112
81,0.9511111111111112
86,0.9555555555555556
91,0.9511111111111112
96,0.9511111111111112
101,0.9511111111111112
106,0.9355555555555556
111,0.9422222222222222
116,0.9422222222222222
121,0.9511111111111112
126,0.9466666666666668
131,0.9622222222222222
136,0.9555555555555556
141,0.94
146,0.9511111111111112
151,0.9622222222222222
156,0.9511111111111112
161,0.9488888888888888
166,0.9577777777777776
171,0.9511111111111112
176,0.9644444444444444
181,0.9511111111111112
186,0.96
191,0.9511111111111112
196,0.9377777777777778
201,0.9688888888888888
206,0.9622222222222222
1,0.5422222222222223
6,0.5466666666666666
11,0.7266666666666667
16,0.8888888888888888
21,0.94
26,0.888888888888889
31,0.9288888888888888
36,0.9311111111111112
41,0.9333333333333332
46,0.9377777777777778
51,0.9422222222222224
56,0.9466666666666668
61,0.9422222222222222
66,0.96
71,0.9644444444444444
76,0.9644444444444444
81,0.9711111111111111
86,0.9822222222222222
91,0.98
96,0.9822222222222222
101,0.9777777777777776
106,0.977777777777778
111,0.9822222222222222
116,0.9822222222222222
121,0.9777777777777776
126,0.98
131,0.9866666666666668
136,0.9822222222222222
141,0.9822222222222222
146,0.9822222222222222
151,0.9844444444444445
156,0.9866666666666668
161,0.9777777777777776
166,0.9777777777777776
171,0.9822222222222222
176,0.9822222222222222
181,0.9866666666666668
186,0.9733333333333332
191,0.9822222222222222
196,0.9866666666666666
201,0.9866666666666668
206,0.9822222222222222
1,0.5333333333333333
6,0.4111111111111111
11,0.7733333333333333
16,0.8266666666666665
21,0.9288888888888888
26,0.9866666666666668
31,0.9911111111111112
36,0.9911111111111112
41,0.9911111111111112
46,0.9955555555555556
51,0.9955555555555556
56,0.9955555555555556
61,0.9955555555555556
66,0.9955555555555556
71,1.0
76,0.9955555555555556
81,0.9955555555555556
86,0.9955555555555556
91,0.9955555555555556
96,0.9955555555555556
101,0.9955555555555556
106,0.9955555555555556
111,0.9955555555555556
116,0.9955555555555556
121,0.9955555555555556
126,0.9911111111111112
131,1.0
136,1.0
141,0.9955555555555556
146,1.0
151,0.9977777777777778
156,1.0
161,0.9933333333333332
166,1.0
171,1.0
176,0.9977777777777778
181,0.9955555555555556
186,1.0
191,0.9955555555555556
196,1.0
201,0.9955555555555556
206,1.0
1,0.5288888888888889
6,0.7022222222222221
11,0.7177777777777778
16,0.7555555555555555
21,0.7622222222222222
26,0.6888888888888889
31,0.7822222222222222
36,0.74
41,0.8311111111111111
46,0.8533333333333333
51,0.8377777777777778
56,0.8666666666666667
61,0.88
66,0.8911111111111111
71,0.8933333333333333
76,0.9022222222222224
81,0.9044444444444444
86,0.9044444444444444
91,0.8844444444444445
96,0.8977777777777778
101,0.9155555555555556
106,0.9155555555555556
111,0.9088888888888887
116,0.9177777777777778
121,0.9066666666666666
126,0.9088888888888887
131,0.9155555555555556
136,0.9022222222222224
141,0.9222222222222222
146,0.9066666666666666
151,0.9155555555555556
156,0.92
161,0.9
166,0.9111111111111112
171,0.9066666666666666
176,0.9155555555555556
181,0.8866666666666667
186,0.9133333333333332
191,0.9111111111111112
196,0.9111111111111112
201,0.9066666666666666
206,0.9
1,0.4266666666666666
6,0.6577777777777778
11,0.5666666666666667
16,0.6466666666666667
21,0.7066666666666667
26,0.7044444444444444
31,0.8333333333333333
36,0.8755555555555555
41,0.9088888888888887
46,0.8866666666666666
51,0.9
56,0.92
61,0.9177777777777778
66,0.9066666666666668
71,0.9333333333333332
76,0.9422222222222224
81,0.9377777777777778
86,0.9422222222222222
91,0.9244444444444444
96,0.9511111111111112
101,0.9555555555555556
106,0.9488888888888888
111,0.9422222222222224
116,0.9711111111111111
121,0.9422222222222222
126,0.96
131,0.9333333333333332
136,0.9422222222222224
141,0.9511111111111112
146,0.94
151,0.9511111111111112
156,0.9444444444444444
161,0.9377777777777776
166,0.94
171,0.9466666666666668
176,0.9444444444444444
181,0.96
186,0.9377777777777776
191,0.9511111111111112
196,0.9355555555555556
201,0.9422222222222222
206,0.9577777777777776
