questions asked,mean,var,lower,upper
1,0.6399177868905895,0.013226901686684523,0.596972993876657,0.6828625799045225
6,0.794988526814168,0.010972289510181124,0.7558747205601539,0.8341023330681818
11,0.8579429549291295,0.006296659204129252,0.8283126210401102,0.8875732888181485
16,0.9112494407832582,0.004207306003174656,0.8870289186553741,0.9354699629111427
21,0.9126476955448536,0.003326615586752497,0.8911108169387585,0.9341845741509487
26,0.9422531305257563,0.0012016415656292067,0.9293091180653238,0.9551971429861891
31,0.9483198749617904,0.0015928901502749303,0.9334168522091264,0.9632228977144546
36,0.955186853221029,0.0016009868889898834,0.9402460020807322,0.9701277043613257
41,0.9629349598451165,0.0010758917901380345,0.950686943764898,0.975182975925334
46,0.9730617637182687,0.0007003076090545473,0.9631801954891012,0.9829433319474367
51,0.9761067258353489,0.0006244893494189969,0.9667753867968956,0.9854380648738021
56,0.9810616273092762,0.00034348541850578583,0.9741411570954301,0.9879820975231224
61,0.9896305711532912,8.425340297053602e-05,0.986203089201686,0.9930580531048965
66,0.9862079685756914,0.00013669616128906433,0.981842211057904,0.9905737260934787
71,0.989997715790008,0.00014115925149192946,0.9855612603427659,0.9944341712372502
76,0.9889262413943635,0.0002004381266523795,0.9836397002253425,0.9942127825633846
81,0.9958105903324038,6.0352880440223685e-05,0.9929097057338531,0.9987114749309544
86,0.9968060873818411,3.795532071924324e-05,0.9945056109735844,0.9991065637900975
91,0.99720688191414,1.847870452313325e-05,0.99560172604291,0.99881203778537
96,0.9966574179424496,1.5320678171004463e-05,0.9951958451631754,0.9981189907217239
101,0.9977787037007633,9.610263468917084e-06,0.9966211288090332,0.9989362785924936
