questions asked,mean,var,lower,upper
1,0.7041116780337879,0.0062702940623719896,0.6633984109586658,0.7448249451089098
6,0.8882841366168464,0.0016814743171744166,0.8672009079579515,0.9093673652757412
11,0.9247503754990429,0.0011632616648029636,0.9072143685909846,0.942286382407101
16,0.9498548090060723,0.0013954893433236715,0.9306479980442489,0.9690616199678957
21,0.964223427652053,0.0004450765890568079,0.9533764342663378,0.9750704210377683
26,0.9706410534098727,0.0003327986247795587,0.9612614870298027,0.9800206197899431
31,0.982316470612747,0.00014351335457878683,0.976157074170764,0.9884758670547299
36,0.9832218458971544,0.00014733314315356347,0.9769810177043687,0.9894626740899402
41,0.9802788669660609,0.00014716211347169387,0.9740416621155086,0.9865160718166133
46,0.9894075509515297,9.345023373922757e-05,0.9844372556107869,0.9943778462922724
51,0.9921544960540016,6.596187586153692e-05,0.9879787075077882,0.9963302846002151
56,0.9923866094542797,6.965357258262821e-05,0.9880955582382892,0.9966776606702697
61,0.9949269720664868,3.571897676490121e-05,0.991854121050734,0.9979998230822397
66,0.9929855172414205,5.459915488861285e-05,0.9891863801958206,0.9967846542870203
71,0.998311902492658,5.6864803043697665e-06,0.9970858367178388,0.9995379682674772
76,0.9991305000519113,1.4228970776980427e-06,0.9985171918911456,0.9997438082126769
81,0.9986394400851886,3.768950258379718e-06,0.9976412753951477,0.9996376047752294
86,0.9981589740328413,1.1669296307089567e-05,0.9964026108143514,0.9999153372513311
91,0.999621238599691,5.343524621007862e-07,0.9992453960832955,0.9999970811160864
96,0.9995108135985601,6.507836794921339e-07,0.9990960407432932,0.999925586453827
101,0.9992954836653084,2.168632994655282e-06,0.9985383282543984,1.0000526390762183
