,random_diss,qsampled_diss,qsampled_diss_pos,m2_diss,m2_diss_pos,m3_diss,random_resp,qsampled_resp,m2_resp,m3_resp
0,0.22784810126582278,0.0,0.0,0.0,0.0,0.25316455696202533,1,5,5,4
1,0.5872573839662447,0.06666666666666665,0.2755102040816326,0.47333333333333333,0.4489795918367347,0.599915611814346,4,1,4,4
2,0.7098028554840242,0.24242424242424243,0.0,0.35820975714592745,0.35265700483091783,0.5505988753845217,3,1,2,5
3,0.48960256744812913,0.32450870163359985,0.21153846153846154,0.5644842799544226,0.4681964573268921,0.43156889122448705,3,4,1,4
4,0.5681526421937975,0.2596069613068799,0.10666666666666665,0.5863589736573676,0.4405918418768723,0.5168448317774302,4,1,2,3
5,0.6409055203115498,0.23238643414850876,0.25555555555555554,0.6553000652061537,0.4504932015640602,0.5915413897589422,4,2,4,4
6,0.6720027114935938,0.1991883721272932,0.3014652014652014,0.6179628264537594,0.3861370299120516,0.5633125332132926,5,1,3,3
7,0.5039718278565493,0.2364888793225119,0.42666666666666664,0.6615152666148789,0.4837032345063785,0.49977869284718246,2,1,1,5
8,0.4706690229426227,0.22682708276227434,0.3885185185185185,0.6368262119010306,0.4299584306723364,0.49305608519424154,2,2,3,3
9,0.42393526956570965,0.3041421999847325,0.4273433636575693,0.6179118482312038,0.48673554707836875,0.48862565956418236,2,3,3,3
10,0.46494115415064513,0.36740199998612044,0.47940305787051757,0.6356016802101853,0.43692048885712625,0.4442051450583476,1,1,3,3
11,0.4223619892014974,0.36673326253891686,0.3959116220067935,0.5231569928675669,0.41972197330881844,0.4071880496368186,3,4,2,3
12,0.38704822444569,0.3563583640461682,0.4423799587755016,0.4700370203748051,0.4643587445927555,0.402875620336632,1,1,2,4
13,0.3594019226995693,0.4429492446653572,0.4850999288957902,0.4458393150826378,0.4260142793992771,0.38707237906296854,1,4,3,4
14,0.40206824883902276,0.48004506605376246,0.4902954396881381,0.47167224963268417,0.3598823953345275,0.42793422045877066,3,5,3,5
15,0.42702673726711343,0.4500714783942232,0.45442504639318587,0.474528177256513,0.3423885484841207,0.45968815013890985,3,2,3,5
16,0.3992230111699732,0.5029203467793127,0.44017187967130506,0.4677342679626613,0.3222480456321136,0.46926155161542776,2,4,3,4
17,0.3532760435147748,0.4660327775234032,0.4691317017438894,0.4610278212005793,0.3418302290894701,0.438582959385636,2,5,5,4
18,0.33352131844652105,0.44016591042271574,0.48636176565435424,0.3745220193645079,0.3128212099509732,0.4537967915633649,4,3,4,1
19,0.3609775003399217,0.43728954846472623,0.46204367737163654,0.3927564690978976,0.3466624191485119,0.47523919980092344,5,3,4,5
20,0.3914071431808779,0.41646623663307264,0.4400415974967967,0.37405378009323575,0.3301546849033447,0.49935052400593266,3,1,1,5
21,0.4018238844418706,0.3937661417626247,0.42003970670148777,0.3969882772145889,0.3350053213563148,0.4773762573843531,2,1,5,1
22,0.4048804139416307,0.40675060512147926,0.4015599706482891,0.4095354082473019,0.3211288368460688,0.5000990288024247,4,2,3,5
23,0.4213617697330168,0.38887919384127784,0.4255841759262515,0.3927702682939223,0.3478947177789489,0.47906204145892844,1,4,4,4
24,0.40334148937005104,0.4136387525298503,0.44858202691803356,0.434370000316408,0.3709107667038932,0.5170458412608652,1,2,3,4
25,0.3805835729738867,0.40749920081676805,0.4278418069804211,0.43867107369791114,0.37619545006591326,0.5088362290143815,3,2,3,4
26,0.37658091650601055,0.3798753095027524,0.42537991474080933,0.4286794021521838,0.3782087873062704,0.4957046778996781,1,3,3,4
27,0.36313159805936734,0.3978429720546722,0.4478339573899195,0.449108123558222,0.38026381469616205,0.5137069497864365,4,3,3,3
28,0.37231484236130163,0.408924629318762,0.46687416575578433,0.4336637210894106,0.39877839844352925,0.49592678152914205,5,1,2,2
29,0.3686160859289195,0.4069111298960249,0.46240909538586794,0.42232497884452,0.3873320598253791,0.48414650732577164,4,2,2,3
30,0.37577082898943626,0.40967173642140337,0.4619106039208257,0.41106436035460114,0.35993426962705743,0.47973376566549225,5,1,2,4
31,0.38679244456955597,0.4219268813772066,0.4730775946725107,0.4232843178607666,0.36541328198086653,0.4897950681641774,5,5,5,5
32,0.37657387664172076,0.42920776645203224,0.4734722737826251,0.4157030549030783,0.33922013710385546,0.47054019676285247,4,1,3,4
33,0.40227571616675184,0.45289111796132453,0.4752146323783979,0.3646175953142033,0.3395371918949185,0.46435831305950365,2,4,3,3
34,0.42639203742699294,0.43779181840964854,0.4676313555888751,0.35341920231700025,0.32673093730311714,0.46715494011865005,1,2,2,5
35,0.44277937739883844,0.42111380708901036,0.47538204900380104,0.34105767374927676,0.2892662016829068,0.43143886779005525,4,2,4,4
