questions asked,auc,z_auc,z_auc_lb,z_auc_ub
5,0.6185185185185186,0.6908333333333333,0.6151887161276846,0.7665402478478432
10,0.6726190476190477,0.7477916666666666,0.6762095934635095,0.8194151161548724
15,0.6954887218045113,0.7556315789473684,0.6824289659457753,0.8288920362110792
20,0.7769230769230768,0.8326923076923076,0.7815406127364566,0.8838912871902741
25,0.8037037037037038,0.8366333333333333,0.7786865516840769,0.8946245442596197
30,0.849624060150376,0.8098947368421052,0.7583980466180843,0.8614795372557116
35,0.6544117647058825,0.7297058823529412,0.6590208672728337,0.8004986491431779
40,0.8308270676691729,0.86275,0.8281346261252726,0.8974004355280826
45,0.7536764705882353,0.7737499999999999,0.7140366578239845,0.8335337261908038
