questions asked,auc,z_auc,z_auc_lb,z_auc_ub
5,0.6047794117647058,0.6691764705882353,0.5911654228097538,0.7473317753768298
10,0.551923076923077,0.64235,0.5568678517938763,0.7278977449767687
15,0.48161764705882354,0.57546875,0.49398300661416805,0.6571796794486064
20,0.5772058823529411,0.66384375,0.5858493447944797,0.741933410402879
25,0.4963235294117647,0.59946875,0.522538754287967,0.6765919782885488
30,0.612781954887218,0.6917142857142856,0.6230418769161241,0.7604412946433559
35,0.4076923076923077,0.536925,0.4518364885624212,0.6221706654372067
40,0.6777777777777778,0.7591111111111111,0.6932116668614792,0.8250827575073161
45,0.5808823529411764,0.6838235294117647,0.6090794259343386,0.7586750611912578
