fpr,tpr,tprU,tprL
0.0,0.0,0.0,0.0
0.001,0.01627906976744186,0.05142852529317342,0.0
0.002,0.03255813953488372,0.08185395798534553,0.0
0.003,0.04883720930232558,0.10870189404079664,0.0
0.004,0.06511627906976744,0.1336479688939816,0.0
0.005,0.09262229350441059,0.17314524250821706,0.012099344500604126
0.006,0.10384923817161187,0.18858369514401518,0.019114781199208578
0.007,0.11507618283881316,0.20371287082462153,0.0264394948530048
0.008,0.12630312750601444,0.21857201767125947,0.03403423734076941
0.009,0.13753007217321572,0.23319189895958642,0.04186824538684504
0.01,0.14875701684041703,0.24759715793922443,0.049916875741609634
0.011,0.1599839615076183,0.2618078941428576,0.05816002887237898
0.012,0.1712109061748196,0.27584075085943327,0.06658106149020593
0.013,0.18243785084202085,0.28970968739148073,0.07516601429256099
0.014,0.19366479550922217,0.3034265411732226,0.08390304984522173
0.015,0.20489174017642342,0.3170014457432049,0.09278203460964196
0.016,0.21611868484362473,0.3304431473609669,0.10179422232628257
0.017,0.22734562951082601,0.34375924879153963,0.11093201023011237
0.018,0.2385725741780273,0.35695639974021187,0.12018874861584272
0.019,0.24979951884522858,0.3700404475342053,0.12955859015625187
0.02,0.26102646351242986,0.38301655772415033,0.1390363693007094
0.021,0.2722534081796312,0.395889311606299,0.14861750475296337
0.022,0.28348035284683243,0.40866278581176263,0.1582979198819022
0.023,0.2947072975140337,0.42134061779924614,0.16807397722882125
0.024,0.305934242181235,0.4339260601480182,0.17794242421445178
0.025,0.3171611868484363,0.44642202586387125,0.18790034783300139
0.026,0.32838813151563756,0.45883112640633,0.19794513662494512
0.027,0.3396150761828388,0.4711557037686888,0.20807444859698881
0.028,0.3508420208500401,0.48339785765797694,0.21828618404210332
0.029,0.36206896551724144,0.4955594686048113,0.22857846242967156
0.03,0.37329591018444275,0.507642217665667,0.23894960270321847
0.031,0.38452285485164395,0.5196476032497588,0.2493981064535291
0.032,0.39574979951884526,0.5315769555003169,0.25992264353737354
0.033,0.40971272229822164,0.5463091338503353,0.273116310746108
0.034,0.4124487004103967,0.549182448706437,0.2757149521143564
0.035,0.4151846785225718,0.5520514063034125,0.27831795074173105
0.036,0.4179206566347469,0.5549160193298542,0.2809252939396396
0.037,0.42065663474692205,0.5577763000129684,0.2835369694808757
0.038,0.42339261285909713,0.5606322601246033,0.28615296559359094
0.039,0.4261285909712722,0.5634839109870179,0.2887732709555265
0.04,0.42886456908344733,0.5663312634783975,0.2913978746884972
0.041,0.43160054719562246,0.5691743280381242,0.29402676635312075
0.042,0.43433652530779754,0.5720131146718072,0.2966599359437879
0.043,0.4370725034199726,0.5748476329560792,0.299297373883866
0.044,0.43980848153214774,0.577677892043164,0.30193907102113143
0.045,0.4425444596443229,0.5805039006652211,0.3045850186234247
0.046,0.44528043775649795,0.5833256671384712,0.30723520837452467
0.047,0.448016415868673,0.5861431993671093,0.30988963237023665
0.048,0.45075239398084815,0.5889565048470071,0.31254828311468913
0.049,0.4534883720930233,0.5917655906692103,0.31521115351683626
0.05,0.45622435020519836,0.594570463523235,0.31787823688716177
0.051,0.45896032831737343,0.5973711297001658,0.3205495269345811
0.052,0.46169630642954856,0.6001675950955603,0.3232250177635369
0.053,0.4644322845417237,0.6029598652121607,0.32590470387128667
0.054,0.46716826265389877,0.6057479451624191,0.3285885801453784
0.055,0.46990424076607384,0.6085318396708359,0.33127664186131184
0.056,0.472640218878249,0.6113115530761148,0.33396888468038316
0.057,0.4753761969904241,0.6140870893331387,0.33666530464770944
0.058,0.4781121751025992,0.6168584520147655,0.33936589819043284
0.059,0.48084815321477425,0.6196256443134472,0.34207066211610127
0.06,0.4835841313269494,0.6223886690426752,0.3447795936112235
0.061,0.4863201094391245,0.6251475286382504,0.3474926902399986
0.062,0.4890560875512996,0.6279022251593824,0.35020994994321675
0.063,0.49179206566347466,0.6306527602896175,0.35293137103733185
0.064,0.4945280437756498,0.6333991353375961,0.3556569522137036
0.065,0.4972640218878249,0.6361413512376414,0.3583866925380085
0.066,0.5,0.6388794085501797,0.36112059144982034
0.067,0.5027359781121751,0.6416133074619915,0.3638586487623586
0.068,0.5054719562243501,0.6443430477862964,0.36660086466240394
0.069,0.5082079343365253,0.6470686289626681,0.3693472397103825
0.07,0.5109439124487004,0.6497900500567833,0.37209777484061757
0.071,0.5136798905608755,0.6525073097600014,0.3748524713617496
0.072,0.5164158686730507,0.6552204063887765,0.3776113309573248
0.073,0.5191518467852257,0.6579293378838987,0.38037435568655276
0.074,0.5218878248974008,0.6606341018095672,0.3831415479852345
0.075,0.5246238030095759,0.6633346953522905,0.38591291066686123
0.076,0.527359781121751,0.6660311153196168,0.38868844692388516
0.077,0.5300957592339262,0.6687233581386882,0.39146816032916415
0.078,0.5328317373461012,0.6714114198546216,0.39425205483758086
0.079,0.5355677154582763,0.6740952961287133,0.3970401347878393
0.08,0.5383036935704515,0.6767749822364632,0.39983240490443983
0.081,0.5410396716826266,0.679450473065419,0.40262887029983424
0.082,0.5437756497948016,0.6821217631128382,0.40542953647676505
0.083,0.5465116279069767,0.6847888464831637,0.4082344093307897
0.084,0.5492476060191518,0.6874517168853108,0.41104349515299277
0.085,0.551983584131327,0.6901103676297633,0.4138568006328906
0.086,0.554719562243502,0.6927647916254753,0.4166743328615288
0.087,0.5574555403556771,0.6954149813765753,0.41949609933477894
0.088,0.5601915184678523,0.6980609289788686,0.422322107956836
0.089,0.5629274965800274,0.700702626116134,0.4251523670439208
0.09,0.5656634746922025,0.7033400640562121,0.42798688532819285
0.091,0.5683994528043775,0.7059732336468793,0.4308256719618758
0.092,0.5711354309165526,0.7086021253115027,0.4336687365216025
0.093,0.5738714090287278,0.7112267290444735,0.4365160890129821
0.094,0.5766073871409029,0.7138470344064091,0.4393677398753967
0.095,0.579343365253078,0.7164630305191243,0.4422236999870316
0.096,0.5820793433652531,0.7190747060603604,0.4450839806701459
0.097,0.5848153214774282,0.721682049258269,0.44794859369658746
0.098,0.5875512995896033,0.7242850478856435,0.450817551293563
0.099,0.5902872777017784,0.726883689253892,0.4536908661496647
0.1,0.5930232558139534,0.7294779602067419,0.4565685514211649
0.101,0.5957592339261286,0.7320678471136728,0.45945062073858445
0.102,0.5984952120383037,0.7346533358630655,0.4623370882135419
0.103,0.6012311901504788,0.7372344118550624,0.4652279684458951
0.104,0.603967168262654,0.7398110599941282,0.4681232765311797
0.105,0.606703146374829,0.742383264681301,0.47102302806835705
0.106,0.6094391244870041,0.7449510098061278,0.47392723916788043
0.107,0.6121751025991792,0.7475142787382698,0.47683592646008854
0.108,0.6149110807113543,0.7500730543187696,0.4797491071039389
0.109,0.6176470588235294,0.7526273188509676,0.48266679879609126
0.11,0.6203830369357045,0.7551770540910567,0.48558901978035224
0.111,0.6231190150478796,0.7577222412382624,0.4885157888574968
0.112,0.6258549931600548,0.7602628609246341,0.4914471253954754
0.113,0.6285909712722298,0.7627988932044367,0.494383049340023
0.114,0.6313269493844049,0.7653303175431247,0.49732358122568515
0.115,0.63406292749658,0.7678571128058856,0.5002687421872744
0.116,0.6367989056087551,0.7703792572457365,0.5032185539717736
0.117,0.6395348837209303,0.7728967284911559,0.5061730389507046
0.118,0.6422708618331053,0.7754095035332342,0.5091322201329764
0.119,0.6450068399452804,0.7779175587123242,0.5120961211782367
0.12,0.6477428180574556,0.7804208697041709,0.5150647664107403
0.121,0.6504787961696307,0.7829194115055015,0.5180381808337599
0.122,0.6532147742818057,0.7854131584190527,0.5210163901445588
0.123,0.6559507523939808,0.7879020840380134,0.5239994207499482
0.124,0.6586867305061559,0.7903861612298582,0.5269872997824536
0.125,0.6614227086183311,0.7928653621195456,0.5299800551171165
0.126,0.6641586867305062,0.7953396580720572,0.5329777153889551
0.127,0.6668946648426812,0.7978090196742454,0.535980310011117
0.128,0.6696306429548564,0.800273416715964,0.5389878691937489
0.129,0.6723666210670314,0.8027328181704466,0.5420004239636161
0.13,0.6751025991792066,0.8051871921739056,0.5450180061845076
0.131,0.6778385772913817,0.8076365060043077,0.5480406485784558
0.132,0.6805745554035567,0.8100807260593,0.5510683847478134
0.133,0.6833105335157319,0.8125198178332398,0.554101249198224
0.134,0.6872655663915979,0.8160365454008193,0.5584945873823765
0.135,0.6884846211552889,0.8171183092769086,0.5598509330336691
0.136,0.6897036759189797,0.8181990342019951,0.5612083176359643
0.137,0.6909227306826706,0.8192787168170318,0.5625667445483095
0.138,0.6921417854463616,0.8203573537230014,0.5639262171697218
0.139,0.6933608402100525,0.8214349414804208,0.5652867389396842
0.14,0.6945798949737434,0.8225114766088384,0.5666483133386484
0.141,0.6957989497374344,0.8235869555863202,0.5680109438885486
0.142,0.6970180045011253,0.8246613748489279,0.5693746341533227
0.143,0.6982370592648162,0.8257347307901866,0.5707393877394458
0.144,0.6994561140285072,0.8268070197605423,0.572105208296472
0.145,0.700675168792198,0.8278782380668097,0.5734720995175864
0.146,0.7018942235558889,0.82894838197161,0.5748400651401678
0.147,0.7031132783195799,0.830017447692797,0.5762091089463629
0.148,0.7043323330832708,0.8310854314028728,0.5775792347636688
0.149,0.7055513878469617,0.8321523292283934,0.57895044646553
0.15,0.7067704426106527,0.8332181372493619,0.5803227479719435
0.151,0.7079894973743436,0.8342828514986098,0.5816961432500773
0.152,0.7092085521380345,0.835346467961168,0.583070636314901
0.153,0.7104276069017255,0.836408982573624,0.584446231229827
0.154,0.7116466616654163,0.8374703912234676,0.5858229321073651
0.155,0.7128657164291072,0.8385306897484246,0.5872007431097899
0.156,0.7140847711927982,0.839589873935776,0.5885796684498205
0.157,0.7153038259564891,0.8406479395216644,0.5899597123913138
0.158,0.71652288072018,0.8417048821903883,0.5913408792499717
0.159,0.717741935483871,0.8427606975736807,0.5927231733940613
0.16,0.7189609902475619,0.8438153812499737,0.5941065992451501
0.161,0.7201800450112528,0.8448689287436504,0.5954911612788552
0.162,0.7213990997749438,0.8459213355242793,0.5968768640256082
0.163,0.7226181545386346,0.8469725970058354,0.5982637120714339
0.164,0.7238372093023255,0.8480227085459051,0.599651710058746
0.165,0.7250562640660165,0.8490716654448751,0.601040862687158
0.166,0.7262753188297074,0.8501194629451043,0.6024311747143105
0.167,0.7274943735933983,0.8511660962300808,0.6038226509567158
0.168,0.7287134283570893,0.8522115604235596,0.605215296290619
0.169,0.7299324831207802,0.8532558505886843,0.6066091156528761
0.17,0.7311515378844711,0.8542989617270897,0.6080041140418524
