questions asked,mean,var,lower,upper
1,0.6573691375018818,0.013732044754542466,0.6136119846298462,0.7011262903739175
6,0.8483192048047069,0.0035602368198279356,0.826038911959586,0.8705994976498282
11,0.9178112028769756,0.0014654085937841068,0.9035169711537966,0.9321054346001544
16,0.9648044228288482,0.0005885234497909019,0.9557457758111294,0.9738630698465669
21,0.9746915729865314,0.001150929878896554,0.9620236363186622,0.9873595096544009
26,0.9868626717179221,0.00014427878084010757,0.9823774627375697,0.9913478806982745
31,0.9908666147118138,5.786746901400109e-05,0.9880260891948026,0.993707140228825
36,0.987404034037796,0.00013990681631652482,0.9829873036617226,0.9918207644138691
41,0.9904422221659728,9.36375060433649e-05,0.9868289026215838,0.9940555417103615
46,0.9893801365621596,0.00012637445713607493,0.9851824394107471,0.9935778337135723
51,0.9933110091301589,3.133597566814502e-05,0.9912207358850014,0.9954012823753164
56,0.9960171254637931,1.089546333891479e-05,0.9947845761536309,0.997249674773955
61,0.9947682556974634,1.9648620730795566e-05,0.9931130670994867,0.9964234442954402
66,0.9964984034168101,1.4809478744024502e-05,0.9950614213857716,0.9979353854478485
71,0.9977886820062241,6.647729186842978e-06,0.9968259218458536,0.9987514421665945
76,0.9961951214612191,5.396860571670535e-05,0.9934519557082782,0.9989382872141601
81,0.9978397568607495,7.993475119812557e-06,0.996784035606951,0.9988954781145477
86,0.9978156414058306,7.669349683556444e-06,0.9967815457325229,0.9988497370791385
91,0.9986446092439666,4.321634294767553e-06,0.9978683523722767,0.9994208661156567
96,0.9985456912559416,1.579113114443092e-05,0.9970618478493227,1.0000295346625605
101,0.9993806428453217,2.2102137861410745e-06,0.9988255078665819,0.9999357778240615
