questions asked,mean,var,lower,upper
1,0.5,0.0,0.5,0.5
6,0.5,0.0,0.5,0.5
11,0.5317510718674935,0.003979134336925743,0.5154556818005172,0.5480464619344698
16,0.5743529518752921,0.00760661977133647,0.5518226861420105,0.596883217608574
21,0.6479687116074501,0.010391813284874133,0.6216347542756505,0.6743026689392496
26,0.6536696979146142,0.010614303232907503,0.6270553269898349,0.6802840688393936
31,0.9865062243970912,0.00022350308146738699,0.9826442248574294,0.9903682239367531
36,0.9813961904332424,0.0003695364122653956,0.9764302777486796,0.9863621031178055
41,0.9796269002932972,0.00041684416731718125,0.974352691425712,0.9849011091608829
46,0.9801649342366235,0.00045521834549458007,0.9746533006485217,0.9856765678247256
51,0.9793222293415792,0.00045318720923284456,0.9713730870136733,0.9872713716694844
56,0.9970579157588961,0.00011689527279134768,0.9930207189110577,1.001095112606735
61,0.9961168479522687,0.00011155286909952696,0.9921729849231,1.0000607109814375
66,0.9945146635652312,0.000117373682123231,0.9904692137723702,0.998560113358092
71,0.9988845684472619,2.2581374257468837e-05,0.9971101475828966,1.0006589893116273
76,0.9996031746031746,4.724111866969077e-06,0.9987915755388362,1.000414773667513
81,1.0,0.0,1.0,1.0
86,0.9995070806100218,2.579808822751894e-06,0.9989073237654542,1.0001068374545894
91,0.9997435897435897,1.9723865877712626e-06,0.9992191718866326,1.0002680076005468
96,1.0,0.0,1.0,1.0
101,0.9998774509803922,4.505478662052814e-07,0.9996268100928759,1.0001280918679085
