fpr,tpr,threshold,questions
0.0,0.0,1.480675569520817,1
1.0,1.0,0.480675569520817,1
0.0,0.0,1.9726590260767203,4
0.0,0.030303030303030304,0.9726590260767203,4
0.0,0.18181818181818182,0.9556630399154508,4
0.0,0.24242424242424243,0.9515252164795768,4
0.0,0.2727272727272727,0.9484618645228673,4
0.0,0.3333333333333333,0.9436087397402051,4
0.0,0.5757575757575758,0.8045910060517484,4
0.0,0.7575757575757576,0.62251189766768,4
0.0,0.7878787878787878,0.6214289063316106,4
0.030303030303030304,0.7878787878787878,0.6127372568750071,4
0.030303030303030304,0.8181818181818182,0.5584513123707329,4
0.06060606060606061,0.8484848484848485,0.5492182006499443,4
0.09090909090909091,0.8484848484848485,0.4477320438279537,4
0.09090909090909091,0.9090909090909091,0.4395253651030293,4
0.12121212121212122,0.9090909090909091,0.4290312372836917,4
0.24242424242424243,0.9090909090909091,0.311364168828806,4
0.2727272727272727,0.9393939393939394,0.29172535263749594,4
0.36363636363636365,0.9393939393939394,0.2051849699144117,4
0.42424242424242425,1.0,0.19775234619013493,4
0.7878787878787878,1.0,0.13866437091990277,4
1.0,1.0,0.06546748879587685,4
0.0,0.0,1.969344740404523,7
0.0,0.02857142857142857,0.969344740404523,7
0.0,0.8,0.6133167090631007,7
0.03225806451612903,0.8,0.6009699934166037,7
0.03225806451612903,0.8285714285714286,0.5848136738088283,7
0.0967741935483871,0.8285714285714286,0.5095155956387668,7
0.0967741935483871,0.8571428571428571,0.49498108645472144,7
0.12903225806451613,0.8571428571428571,0.4830427787390366,7
0.12903225806451613,0.8857142857142857,0.48193322200435695,7
0.16129032258064516,0.8857142857142857,0.4474207433587643,7
0.16129032258064516,0.9428571428571428,0.35022209441434354,7
0.1935483870967742,0.9428571428571428,0.29227491468661104,7
0.2903225806451613,0.9428571428571428,0.2720827788211005,7
0.3225806451612903,0.9428571428571428,0.20565689563042555,7
0.3225806451612903,0.9714285714285714,0.1960360974257448,7
0.4838709677419355,0.9714285714285714,0.12267697371285477,7
0.5806451612903226,0.9714285714285714,0.08530917792682793,7
0.6129032258064516,0.9714285714285714,0.07754765906765088,7
0.6129032258064516,1.0,0.07497246110905907,7
0.6451612903225806,1.0,0.06645007892029697,7
0.7419354838709677,1.0,0.05457619924136056,7
0.8064516129032258,1.0,0.03651157691779915,7
0.967741935483871,1.0,0.031170029497439227,7
1.0,1.0,0.024072627939904827,7
0.0,0.0,2.0,10
0.0,0.07407407407407407,1.0,10
0.0,0.5925925925925926,0.9119962742134688,10
0.02564102564102564,0.5925925925925926,0.8670992231889666,10
0.02564102564102564,0.7037037037037037,0.7856843354957986,10
0.05128205128205128,0.7037037037037037,0.7625702882113137,10
0.05128205128205128,0.8518518518518519,0.6749229165895829,10
0.38461538461538464,0.8518518518518519,0.23251695653656435,10
0.38461538461538464,0.8888888888888888,0.2015454393659521,10
0.41025641025641024,0.8888888888888888,0.19760066619040972,10
0.41025641025641024,0.9259259259259259,0.1869214748255997,10
0.4358974358974359,0.9259259259259259,0.16181930186455076,10
0.4358974358974359,0.9629629629629629,0.16037230185043155,10
0.5641025641025641,0.9629629629629629,0.11571653027158307,10
0.6153846153846154,0.9629629629629629,0.11184025460043559,10
0.6410256410256411,0.9629629629629629,0.10251678730185515,10
0.6410256410256411,1.0,0.08881965822011069,10
0.6666666666666666,1.0,0.07458361285661434,10
0.717948717948718,1.0,0.04771424331067587,10
0.8717948717948718,1.0,0.014027947361280694,10
0.9230769230769231,1.0,0.007475240808574141,10
1.0,1.0,0.0036817882971729127,10
0.0,0.0,1.9994232987312572,13
0.0,0.03571428571428571,0.9994232987312571,13
0.0,0.21428571428571427,0.9875564114534703,13
0.02631578947368421,0.21428571428571427,0.9819709348385819,13
0.02631578947368421,0.6071428571428571,0.9392517732795004,13
0.05263157894736842,0.6071428571428571,0.9119977990786843,13
0.05263157894736842,0.7142857142857143,0.8988309811788744,13
0.07894736842105263,0.7142857142857143,0.8924576791327226,13
0.07894736842105263,0.75,0.8799230093472449,13
0.10526315789473684,0.75,0.8720644707698127,13
0.10526315789473684,0.7857142857142857,0.8611754573821552,13
0.13157894736842105,0.7857142857142857,0.8338234561748038,13
0.13157894736842105,1.0,0.3817488790079809,13
0.9210526315789473,1.0,0.02250672506426982,13
0.9736842105263158,1.0,0.018096171114746967,13
1.0,1.0,0.0004901960784313725,13
0.0,0.0,1.9911233904014525,16
0.0,0.02564102564102564,0.9911233904014526,16
0.0,0.6153846153846154,0.8171538645955747,16
0.037037037037037035,0.6153846153846154,0.7973591102678885,16
0.037037037037037035,0.8461538461538461,0.7108321370766915,16
0.07407407407407407,0.8461538461538461,0.7077571369139628,16
0.07407407407407407,1.0,0.6369646611020109,16
1.0,1.0,0.0,16
0.0,0.0,1.9931173826173825,19
0.0,0.037037037037037035,0.9931173826173826,19
0.0,1.0,0.36716348194289367,19
1.0,1.0,0.004157894736842105,19
0.0,0.0,1.985250502572032,22
0.0,0.030303030303030304,0.985250502572032,22
0.0,0.3333333333333333,0.9378506178401089,22
0.030303030303030304,0.3333333333333333,0.9357267862683429,22
0.030303030303030304,0.8484848484848485,0.8391833953210219,22
0.12121212121212122,0.8484848484848485,0.8036875474419534,22
0.12121212121212122,0.9696969696969697,0.6672269741442631,22
0.18181818181818182,0.9696969696969697,0.48113724658520585,22
0.18181818181818182,1.0,0.40824713569513765,22
1.0,1.0,0.020578777460068712,22
0.0,0.0,1.9890248538940354,25
0.0,0.030303030303030304,0.9890248538940354,25
0.0,1.0,0.3567085737277133,25
1.0,1.0,0.0019186865497644143,25
0.0,0.0,1.9835247955831263,28
0.0,0.02857142857142857,0.9835247955831263,28
0.0,0.8857142857142857,0.7124875349320731,28
0.03225806451612903,0.8857142857142857,0.7105167360856854,28
0.03225806451612903,0.9142857142857143,0.6799852584671523,28
0.0967741935483871,0.9142857142857143,0.6217317178573131,28
0.0967741935483871,1.0,0.4538929408646151,28
1.0,1.0,0.01966231137283769,28
0.0,0.0,1.959226072038755,31
0.0,0.029411764705882353,0.959226072038755,31
0.0,0.8529411764705882,0.626791894345413,31
0.03125,0.8529411764705882,0.5660179120365322,31
0.03125,1.0,0.42311958679478817,31
1.0,1.0,0.015744884698518785,31
0.0,0.0,1.976790427039299,34
0.0,0.03125,0.9767904270392991,34
0.0,1.0,0.5509082207228613,34
1.0,1.0,0.006299029390393596,34
0.0,0.0,1.986285493954667,37
0.0,0.03125,0.9862854939546669,37
0.0,1.0,0.6031961537528765,37
0.6764705882352942,1.0,0.020663265306122447,37
0.7352941176470589,1.0,0.02,37
0.9117647058823529,1.0,0.002551020408163265,37
0.9705882352941176,1.0,0.0023809523809523807,37
1.0,1.0,0.0,37
0.0,0.0,1.9810113007419248,40
0.0,0.03333333333333333,0.9810113007419247,40
0.0,0.9666666666666667,0.7305855667445189,40
0.027777777777777776,0.9666666666666667,0.6941868653851815,40
0.027777777777777776,1.0,0.6173787101570913,40
1.0,1.0,0.006859284033197077,40
0.0,0.0,1.9426004910051269,43
0.0,0.02702702702702703,0.9426004910051268,43
0.0,1.0,0.48029344348550695,43
1.0,1.0,0.0073338385005368815,43
