fpr,tpr,threshold,questions
0.0,0.0,1.8167412350742298,5
0.13043478260869565,0.1,0.8167412350742299,5
0.2608695652173913,0.7,0.7584561369438273,5
0.30434782608695654,0.7,0.6726397369428788,5
0.391304347826087,0.7,0.6458885460412758,5
0.391304347826087,0.8,0.6004731697523185,5
0.4782608695652174,0.8,0.5714539746906382,5
0.5652173913043478,0.8,0.567958261558338,5
0.6956521739130435,0.8,0.41363241474609963,5
0.7391304347826086,0.9,0.3465753394622922,5
0.9130434782608695,0.9,0.20708348760422046,5
0.9565217391304348,1.0,0.1978783739029641,5
1.0,1.0,0.15199722596058177,5
0.0,0.0,1.8314667015990542,10
0.0,0.058823529411764705,0.8314667015990542,10
0.0,0.11764705882352941,0.8035074623089327,10
0.0,0.23529411764705882,0.7819099095349091,10
0.0,0.29411764705882354,0.7520222930664108,10
0.0625,0.47058823529411764,0.7359027720645366,10
0.0625,0.5294117647058824,0.6287108406299583,10
0.125,0.5294117647058824,0.6246894355644356,10
0.125,0.7058823529411765,0.621077554798143,10
0.1875,0.7058823529411765,0.6142928044178044,10
0.4375,0.7058823529411765,0.5486190410896291,10
0.4375,0.8235294117647058,0.4821431068931071,10
0.5,0.8235294117647058,0.40737797144376087,10
0.5625,0.8823529411764706,0.38009270631329445,10
0.625,0.8823529411764706,0.34530011655011655,10
0.625,1.0,0.21833044733044726,10
1.0,1.0,0.0997765845265845,10
0.0,0.0,1.6896691807658646,15
0.058823529411764705,0.0,0.6896691807658646,15
0.11764705882352941,0.0,0.6806740470137955,15
0.11764705882352941,0.1875,0.5988124278078297,15
0.17647058823529413,0.1875,0.5907730189609778,15
0.17647058823529413,0.375,0.5705363502565085,15
0.23529411764705882,0.375,0.5692013054341865,15
0.23529411764705882,0.5,0.5616443673694936,15
0.29411764705882354,0.5,0.5594786080050604,15
0.29411764705882354,0.6875,0.5248345827754934,15
0.35294117647058826,0.6875,0.52080745340664,15
0.35294117647058826,0.75,0.5060584787200462,15
0.4117647058823529,0.75,0.46832559794715717,15
0.4117647058823529,0.875,0.4515660662284446,15
0.47058823529411764,0.875,0.44663854120578633,15
0.47058823529411764,0.9375,0.42849423914325036,15
0.5882352941176471,0.9375,0.41322637277296936,15
0.5882352941176471,1.0,0.39987911145499444,15
1.0,1.0,0.2876575541439166,15
0.0,0.0,1.684700831760316,20
0.07692307692307693,0.0,0.684700831760316,20
0.07692307692307693,0.2,0.6103727982915347,20
0.15384615384615385,0.2,0.5574918805493078,20
0.15384615384615385,0.45,0.5010688512873906,20
0.5384615384615384,0.45,0.42115015878446954,20
0.5384615384615384,0.65,0.4142174044667728,20
0.6153846153846154,0.65,0.4006610476238048,20
0.6153846153846154,0.85,0.3782898689481002,20
0.6923076923076923,0.85,0.368124731544591,20
0.6923076923076923,0.9,0.36145432085333745,20
0.8461538461538461,0.9,0.348783276988391,20
0.8461538461538461,1.0,0.286363495364588,20
1.0,1.0,0.19505686291714938,20
0.0,0.0,1.7218922970443036,25
0.0,0.05555555555555555,0.7218922970443036,25
0.0,0.6666666666666666,0.5592500698198226,25
0.26666666666666666,0.6666666666666666,0.5318689050549829,25
0.26666666666666666,0.7222222222222222,0.5297187436427179,25
0.3333333333333333,0.7222222222222222,0.5297118806947566,25
0.3333333333333333,0.8888888888888888,0.4629675324512486,25
0.4,0.8888888888888888,0.4341062192719579,25
0.4,0.9444444444444444,0.4245914531007808,25
0.6,0.9444444444444444,0.38871559664254896,25
0.6,1.0,0.3353199594242921,25
1.0,1.0,0.20103035745951497,25
0.0,0.0,1.8328275617961687,30
0.05555555555555555,0.0,0.8328275617961688,30
0.05555555555555555,0.06666666666666667,0.8129538450278383,30
0.1111111111111111,0.06666666666666667,0.7841002152095092,30
0.1111111111111111,0.3333333333333333,0.7749391481414882,30
0.16666666666666666,0.3333333333333333,0.7269645015428539,30
0.16666666666666666,0.4666666666666667,0.6577127791314886,30
0.2777777777777778,0.4666666666666667,0.5979261551743913,30
0.2777777777777778,0.6666666666666666,0.5440769955114262,30
0.4444444444444444,0.6666666666666666,0.5173833003451895,30
0.4444444444444444,0.7333333333333333,0.4725002276735466,30
0.5555555555555556,0.7333333333333333,0.45782316918699867,30
0.5555555555555556,0.8,0.45037461178761257,30
0.6666666666666666,0.8,0.4183043858687386,30
0.6666666666666666,0.8666666666666667,0.4166593946725804,30
0.7777777777777778,0.8666666666666667,0.35746045878529975,30
0.7777777777777778,0.9333333333333333,0.34518866646151203,30
0.8888888888888888,0.9333333333333333,0.320140444678596,30
0.8888888888888888,1.0,0.3162453054195115,30
1.0,1.0,0.2135011964380576,30
0.0,0.0,1.6570149733557207,35
0.0,0.05,0.6570149733557206,35
0.0,0.3,0.5476137255673892,35
0.15384615384615385,0.3,0.5233575266309257,35
0.15384615384615385,0.45,0.5105228258831631,35
0.23076923076923078,0.45,0.47330052952484336,35
0.23076923076923078,0.5,0.4605042873470552,35
0.38461538461538464,0.5,0.427501342870509,35
0.38461538461538464,0.55,0.4257945656794079,35
0.46153846153846156,0.55,0.42084485445275027,35
0.46153846153846156,0.7,0.40876547306112476,35
0.5384615384615384,0.7,0.3964633094504484,35
0.5384615384615384,0.95,0.3481364535602345,35
0.9230769230769231,0.95,0.2741782776308959,35
0.9230769230769231,1.0,0.2550839657514853,35
1.0,1.0,0.20963527101899107,35
0.0,0.0,1.7229442771387409,40
0.0,0.07692307692307693,0.722944277138741,40
0.0,0.15384615384615385,0.6832246067713195,40
0.1,0.15384615384615385,0.6800507274719053,40
0.1,0.46153846153846156,0.6408049832691072,40
0.15,0.46153846153846156,0.6196174949984417,40
0.15,0.6153846153846154,0.6132441795010599,40
0.4,0.6153846153846154,0.5533089319534873,40
0.4,0.6923076923076923,0.5373133214660863,40
0.55,0.6923076923076923,0.5186724710322704,40
0.55,0.8461538461538461,0.46480619130508816,40
0.6,0.8461538461538461,0.46406612183994345,40
0.6,1.0,0.4167712631071473,40
1.0,1.0,0.24519069647212638,40
0.0,0.0,1.6623542043611388,45
0.0,0.05555555555555555,0.6623542043611387,45
0.0,0.16666666666666666,0.6210869378704988,45
0.06666666666666667,0.16666666666666666,0.5808618836689294,45
0.06666666666666667,0.3333333333333333,0.5632133098295192,45
0.13333333333333333,0.3333333333333333,0.5615344383297294,45
0.13333333333333333,0.3888888888888889,0.5615073957724112,45
0.2,0.3888888888888889,0.5577313813976932,45
0.2,0.5555555555555556,0.5414410209915789,45
0.26666666666666666,0.5555555555555556,0.5369192847986338,45
0.26666666666666666,0.6666666666666666,0.5306417650909236,45
0.3333333333333333,0.6666666666666666,0.5202432510566896,45
0.3333333333333333,0.7777777777777778,0.5122691079317293,45
0.4,0.7777777777777778,0.5099368743162305,45
0.4,0.8888888888888888,0.48981914623073647,45
0.6,0.8888888888888888,0.4607547391950526,45
0.6,0.9444444444444444,0.4461255607500473,45
0.7333333333333333,0.9444444444444444,0.4424470416162794,45
0.7333333333333333,1.0,0.4305440537202168,45
1.0,1.0,0.3517526292914455,45
