questions asked,auc,z_auc,z_auc_lb,z_auc_ub
5,0.5685185185185185,0.6075555555555555,0.5269747428064269,0.6883214283247194
10,0.3282608695652174,0.5,0.4177203101705293,0.58258797086041
15,0.5036764705882353,0.6488529411764705,0.5780718765621531,0.7198153145519062
20,0.5269230769230769,0.588525,0.506202983184232,0.671004170815396
25,0.7463235294117647,0.7793749999999999,0.7052970790457416,0.8534857675030405
30,0.7536764705882353,0.7793823529411764,0.7122349514037907,0.846600171488259
35,0.7556390977443609,0.7874642857142856,0.7272527975828846,0.8477499842996608
40,0.7444444444444445,0.7627222222222223,0.7139055789663201,0.8116698780225365
45,0.6691176470588235,0.7223235294117647,0.6464216857610936,0.7982698895407663
