questions asked,auc,z_auc,z_auc_lb,z_auc_ub
1.0,0.6744908508740034,0.6744908508740034,0.6744908508740034,0.6744908508740034
6.0,0.8436294658818225,0.8669304518838574,0.8168168261567667,0.9170652339289415
11.0,0.9030317006151756,0.9128547151108829,0.8773402642213236,0.9483866271364622
16.0,0.9607840246505122,0.9656624685208611,0.9523204124203056,0.9790113780526283
21.0,0.984483738985439,0.984483738985439,0.984483738985439,0.984483738985439
26.0,0.9958305632699297,0.8291638966032631,0.8017373333267729,0.8566932202233998
31.0,0.9921261455029139,0.9911508368609385,0.9898316645852431,0.9924711931005455
36.0,0.9906824041605643,0.9904912733746061,0.9891624527337668,0.99182137070017
41.0,0.9908653765935465,0.9908653765935465,0.9908653765935465,0.9908653765935465
46.0,0.9950070806466083,0.9116737473132749,0.8979604656750299,0.9254384091233433
51.0,0.9922842522533757,0.9089509189200423,0.8952376372817973,0.9227155807301107
56.0,0.9961442940802331,0.9128109607468997,0.8990976791086546,0.926575622556968
61.0,0.9932030544289332,0.9098697210955998,0.8961564394573548,0.9236343829056682
66.0,0.998308142701525,0.748308142701525,0.7071682977867897,0.78960212813173
71.0,0.9978556703791739,0.8311890037125073,0.803762440436017,0.8587183273326439
76.0,0.9976832140129669,0.7476832140129669,0.7065433690982316,0.7889771994431719
81.0,0.9982985568168156,0.8316318901501489,0.8042053268736588,0.8591612137702856
86.0,0.9990517546969159,0.6657184213635826,0.6108652948106021,0.7207770686038559
91.0,0.9990705675545072,0.7490705675545072,0.7079307226397719,0.7903645529847122
96.0,0.9995340167753962,0.5828673501087295,0.5143009419175039,0.6516906591590711
101.0,1.0,0.5,0.4177203101705293,0.58258797086041
