fpr,tpr,threshold,questions
0.0,0.0,1.561950521365774,1
1.0,1.0,0.5619505213657741,1
0.0,0.0,1.5196743554952512,6
1.0,1.0,0.5196743554952511,6
0.0,0.0,1.7745835590505117,11
0.0625,0.058823529411764705,0.7745835590505117,11
0.0625,0.17647058823529413,0.5021233181638305,11
1.0,1.0,0.4786968374310668,11
0.0,0.0,1.9526755224654284,16
0.058823529411764705,0.125,0.9526755224654283,16
0.058823529411764705,0.1875,0.8981077258304981,16
0.11764705882352941,0.1875,0.8852406669238353,16
0.11764705882352941,0.25,0.8304481319212061,16
0.17647058823529413,0.25,0.7670311261895422,16
0.17647058823529413,0.4375,0.6001700170017001,16
0.7058823529411765,0.875,0.5251873231996532,16
0.7058823529411765,0.9375,0.4760742791604389,16
0.7647058823529411,1.0,0.3873826974607098,16
0.9411764705882353,1.0,0.28855715143184585,16
1.0,1.0,0.2752176752904767,16
0.0,0.0,1.8603049045768023,21
0.0,0.06666666666666667,0.8603049045768023,21
0.0,0.13333333333333333,0.8461255151177772,21
0.1111111111111111,0.13333333333333333,0.7855935254199151,21
0.1111111111111111,0.2,0.7613046110535924,21
0.16666666666666666,0.2,0.7438249315526787,21
0.16666666666666666,0.26666666666666666,0.7415991219000702,21
0.2222222222222222,0.3333333333333333,0.7008655224404043,21
0.2777777777777778,0.5333333333333333,0.6456682333506003,21
0.4444444444444444,0.5333333333333333,0.5932345042264567,21
0.4444444444444444,0.6,0.5764011715366469,21
0.7222222222222222,0.8,0.5663231074436432,21
0.8888888888888888,0.8666666666666667,0.5338779640424446,21
0.8888888888888888,1.0,0.44551618288396266,21
1.0,1.0,0.024603591830269188,21
0.0,0.0,1.8023657246265308,26
0.0,0.05263157894736842,0.8023657246265307,26
0.07142857142857142,0.05263157894736842,0.7591684959800111,26
0.07142857142857142,0.15789473684210525,0.7560119915371605,26
0.14285714285714285,0.15789473684210525,0.7369043815833555,26
0.14285714285714285,0.21052631578947367,0.6487298168081168,26
0.2857142857142857,0.21052631578947367,0.6056498453508172,26
0.2857142857142857,0.3157894736842105,0.5615250443087244,26
0.35714285714285715,0.3157894736842105,0.5405313624343914,26
0.35714285714285715,0.5263157894736842,0.4819284438294342,26
0.5714285714285714,0.8421052631578947,0.4612913279170574,26
0.5714285714285714,0.8947368421052632,0.3979325865986617,26
0.6428571428571429,0.8947368421052632,0.3694516799598551,26
0.6428571428571429,1.0,0.3417990479449344,26
0.7142857142857143,1.0,0.2867116610350506,26
0.8571428571428571,1.0,0.27580232299596497,26
1.0,1.0,0.20909536684459754,26
0.0,0.0,1.843499444285477,31
0.0,0.05263157894736842,0.8434994442854771,31
0.0,0.8947368421052632,0.5883528026703565,31
0.0,1.0,0.5721835144422447,31
1.0,1.0,0.06487635433523782,31
0.0,0.0,1.8560408731325193,36
0.0,0.05555555555555555,0.8560408731325192,36
0.0,1.0,0.6186851798029693,36
1.0,1.0,0.06861561781950312,36
0.0,0.0,1.913594552792695,41
0.0,0.0625,0.9135945527926951,41
0.0,0.1875,0.8897770783194457,41
0.0,0.3125,0.8885364649683535,41
0.0,1.0,0.6363542996391296,41
1.0,1.0,0.023925993339306034,41
0.0,0.0,1.8115846321843398,46
0.0,0.05263157894736842,0.8115846321843398,46
0.0,0.9473684210526315,0.6008946160834642,46
0.07142857142857142,0.9473684210526315,0.5425658856481448,46
0.07142857142857142,1.0,0.5297261311780208,46
1.0,1.0,0.12369450492504558,46
0.0,0.0,1.930181656736734,51
0.0,0.0625,0.9301816567367339,51
0.0,0.8125,0.7901300955448873,51
0.058823529411764705,0.8125,0.7832234915800537,51
0.058823529411764705,0.875,0.7342099223336848,51
0.17647058823529413,0.875,0.7091755997714542,51
0.17647058823529413,1.0,0.5834336457629855,51
1.0,1.0,0.026220843164690612,51
0.0,0.0,1.9114966760228809,56
0.0,0.05263157894736842,0.9114966760228808,56
0.0,1.0,0.634728824387966,56
1.0,1.0,0.009312512883941453,56
0.0,0.0,1.892989977778305,61
0.0,0.09090909090909091,0.8929899777783049,61
0.0,1.0,0.7235306175053979,61
1.0,1.0,0.1267133747755925,61
0.0,0.0,1.93656126341597,66
0.0,0.07692307692307693,0.9365612634159699,66
0.0,1.0,0.6840849148065837,66
1.0,1.0,0.0276533717010075,66
0.0,0.0,1.8831907885993633,71
0.0,0.05263157894736842,0.8831907885993633,71
0.0,1.0,0.6458343677993228,71
1.0,1.0,0.04033347280896301,71
0.0,0.0,1.9266012018717356,76
0.0,0.07692307692307693,0.9266012018717354,76
0.0,0.7692307692307693,0.8299348024608086,76
0.05,0.7692307692307693,0.7960998054053915,76
0.05,1.0,0.7456575483185266,76
