questions asked,auc,z_auc,z_auc_lb,z_auc_ub
1.0,0.5,0.5,0.4177203101705293,0.5825879708604101
6.0,0.5,0.5,0.4177203101705293,0.5825879708604101
11.0,0.5530759823252083,0.5410574383419585,0.509032005844347,0.5731917045325361
16.0,0.5849105352842804,0.62511602170161,0.5698549673061061,0.6804504746934373
21.0,0.6548334753004516,0.702862133683883,0.6397785273256178,0.7660434036606802
26.0,0.6366906934463693,0.7073297323074529,0.6401496437356751,0.7745980743173055
31.0,0.9858781338296302,0.9676319855697565,0.963214354218335,0.972063495567538
36.0,0.976516395732082,0.9399497402379756,0.9329002190834441,0.9470242577807318
41.0,0.9789597758952294,0.8793211794040015,0.8621948945727819,0.8965106486218433
46.0,0.9756335555664761,0.9411984585647125,0.9337651450472978,0.9486572048382566
51.0,0.9761477631988469,0.9094810965321802,0.8985104712215841,0.9204928259802349
56.0,0.9975490196078431,0.5308823529411765,0.4540879757670038,0.6079644590775591
61.0,0.998744082428293,0.598744082428293,0.5329203305647163,0.6648144591166211
66.0,0.9939458122430259,0.7272791455763592,0.6833966443339748,0.7713260633685779
71.0,0.9980336871590741,0.5647003538257408,0.4933912893068662,0.6362765952380962
76.0,0.9992063492063491,0.5325396825396825,0.4557453053655099,0.6096217886760653
81.0,1.0,0.5,0.4177203101705293,0.5825879708604101
86.0,0.9990141612200436,0.5990141612200436,0.533190409356467,0.6650845379083716
91.0,0.9994871794871795,0.5328205128205128,0.45602613564634015,0.6099026189568956
96.0,1.0,0.5333333333333333,0.4565389561591607,0.610415439469716
101.0,0.9997549019607843,0.5330882352941176,0.456293858119945,0.6101703414305003
