questions,variable,mean,var,lower,upper
0,m2_diss,0.0,0.0,0.0,0.0
0,m3_diss,0.0,0.0,0.0,0.0
0,qsampled_diss,0.0,0.0,0.0,0.0
0,random_diss,0.0,0.0,0.0,0.0
1,m2_diss,0.0,0.0,0.0,0.0
1,m3_diss,0.0,0.0,0.0,0.0
1,qsampled_diss,0.0,0.0,0.0,0.0
1,random_diss,0.0,0.0,0.0,0.0
2,m2_diss,0.0,0.0,0.0,0.0
2,m3_diss,0.0,0.0,0.0,0.0
2,qsampled_diss,0.0,0.0,0.0,0.0
2,random_diss,0.0,0.0,0.0,0.0
3,m2_diss,0.0,0.0,0.0,0.0
3,m3_diss,0.0,0.0,0.0,0.0
3,qsampled_diss,0.0,0.0,0.0,0.0
3,random_diss,0.0,0.0,0.0,0.0
4,m2_diss,0.0,0.0,0.0,0.0
4,m3_diss,0.0,0.0,0.0,0.0
4,qsampled_diss,0.0,0.0,0.0,0.0
4,random_diss,0.0,0.0,0.0,0.0
5,m2_diss,0.0,0.0,0.0,0.0
5,m3_diss,0.0,0.0,0.0,0.0
5,qsampled_diss,0.0,0.0,0.0,0.0
5,random_diss,0.0,0.0,0.0,0.0
6,m2_diss,0.042053047300861145,0.0178898651541939,0.02340274498791228,0.06070334961380998
6,m3_diss,0.3611731222434549,0.05363091467305916,0.3288814939775532,0.3934647505093565
6,qsampled_diss,0.019258756233533014,0.0075040731673807985,0.007179759262941978,0.03133775320412406
6,random_diss,0.28772485102650874,0.06353964358909371,0.2525765182461007,0.32287318380691665
7,m2_diss,0.05797155323559629,0.0197820803321611,0.038359714071546674,0.07758339239964593
7,m3_diss,0.6816091241510887,0.061770395227825105,0.6469535951581308,0.7162646531440465
7,qsampled_diss,0.029362208794684857,0.009210687585036643,0.01597998253891495,0.042744435050454735
7,random_diss,0.46571594108877273,0.09128306413552098,0.4235873003264222,0.5078445818511232
8,m2_diss,0.055362066883993304,0.01563028569454704,0.0379293209603936,0.07279481280759294
8,m3_diss,0.879559959172663,0.07321278766090122,0.8418309140291843,0.9172890043161416
8,qsampled_diss,0.03737576979712671,0.009714541375167482,0.023632391734358486,0.051119147859894944
8,random_diss,0.6132125945111687,0.10590936030248164,0.5678341594211231,0.6585910296012143
9,m2_diss,0.055497086562793466,0.013036314382572535,0.039576474682688524,0.07141769844289836
9,m3_diss,1.0245060384924742,0.08273806021268244,0.9843976687631268,1.064614408221822
9,qsampled_diss,0.04884358067565737,0.010754602694413938,0.03438320660045873,0.06330395475085596
9,random_diss,0.7196433067749965,0.11047939832028474,0.6732961611390725,0.7659904524109203
10,m2_diss,0.07552003241314025,0.020567298643938366,0.055522750484090354,0.09551731434219013
10,m3_diss,1.412347276253507,0.07396715584661458,1.3744243534277878,1.4502701990792266
10,qsampled_diss,0.05695294487236269,0.012030765782567125,0.041658666929449306,0.07224722281527607
10,random_diss,1.0124416842368569,0.11770763816678927,0.9646024008835219,1.0602809675901919
11,m2_diss,0.10221786352468616,0.03606741817215652,0.0757365288527666,0.12869919819660575
11,m3_diss,1.6029700772934503,0.11522030780793438,1.5556389489450022,1.6503012056418997
11,qsampled_diss,0.08072075523767575,0.023364829952006196,0.0594068193695471,0.10203469110580433
11,random_diss,1.1176421399096834,0.1428985372297579,1.0649317493701373,1.1703525304492295
12,m2_diss,0.11390399541282234,0.03233109340086102,0.0888317899283092,0.1389762008973354
12,m3_diss,1.6404163860264642,0.10591220336238,1.595037341864931,1.6857954301879974
12,qsampled_diss,0.08975399619020161,0.020763759820321567,0.06966143309856077,0.10984655928184239
12,random_diss,1.1472107126318034,0.13044858118074443,1.0968488223748754,1.1975726028887315
13,m2_diss,0.12984136740395014,0.03240161695375267,0.10474183191534232,0.15494090289255785
13,m3_diss,1.7119985786749945,0.09150534500732163,1.6698186759547289,1.7541784813952606
13,qsampled_diss,0.09356565723962916,0.020028125257124947,0.0738322312221146,0.1132990832571436
13,random_diss,1.163217104384325,0.12379229036823595,1.114156923909484,1.2122772848591663
14,m2_diss,0.1266214582589558,0.02819576634931719,0.10320752942989506,0.15003538708801653
14,m3_diss,1.7160342265507615,0.0856966460517458,1.675215048541039,1.7568534045604844
14,qsampled_diss,0.10921013254004742,0.02062646970579186,0.08918410569404098,0.12923615938605384
14,random_diss,1.1709020523266858,0.11826265341011234,1.1229501156803208,1.2188539889730508
15,m2_diss,0.1397659695300801,0.026705670296062405,0.11697913052857765,0.16255280853158252
15,m3_diss,1.7153120335743435,0.08355189197224559,1.6750068886847749,1.7556171784639125
15,qsampled_diss,0.12059982401788652,0.021318376466019855,0.10024068508695093,0.14095896294882201
15,random_diss,1.1626006068425463,0.10507728283029988,1.1174007812183548,1.2078004324667382
16,m2_diss,0.1373994403765075,0.02363663097601104,0.11596189138785788,0.1588369893651571
16,m3_diss,1.7159041160451813,0.07582300008274817,1.6775083952919263,1.7542998367984364
16,qsampled_diss,0.12933715282980318,0.020494202638642822,0.10937543761518899,0.14929886804441742
16,random_diss,1.1688381516535573,0.0979150978080483,1.125205945413124,1.2124703578939906
17,m2_diss,0.16156451475732034,0.023545096658317218,0.14016851515156478,0.18296051436307584
17,m3_diss,1.7143786697164272,0.06777793890104172,1.6780770066654311,1.7506803327674232
17,qsampled_diss,0.13769090655527333,0.01900386110404458,0.11846869882909916,0.1569131142814475
17,random_diss,1.166928947939226,0.0944625942942986,1.1240728844491203,1.2097850114293316
18,m2_diss,0.16938910804496768,0.024805686778449205,0.14742781180975884,0.1913504042801767
18,m3_diss,1.8567578655843031,0.060069476690173707,1.8225828070855847,1.8909329240830206
18,qsampled_diss,0.13974736727539447,0.017383318751314793,0.1213629999294846,0.15813173462130434
18,random_diss,1.3269138914679408,0.08656135089502226,1.2858892914797957,1.3679384914560855
19,m2_diss,0.1770377619749546,0.02505008869493477,0.15496854236470753,0.19910698158520168
19,m3_diss,1.8705097949220229,0.053575260218769405,1.8382349260144852,1.9027846638295605
19,qsampled_diss,0.1431603816302438,0.016865752852470783,0.1250517677600611,0.16126899550042645
19,random_diss,1.3806273047859399,0.09170945314952046,1.3384003858719178,1.4228542236999606
20,m2_diss,0.18372785387669044,0.02485420651155282,0.161745090070447,0.20571061768293394
20,m3_diss,1.9439878108393152,0.06325246366857146,1.9089189979147603,1.97905662376387
