variable,questions,mean,var,lower,upper
runif,30,0.4281617590426881,0.13868869277507379,0.41873677495976114,0.43758674312561496
m2,30,0.3292077323089972,0.12272153796388069,0.32034187999260816,0.3380735846253859
actual,30,0.2456800510322433,0.10529782962809564,0.24056605171395298,0.2507940503505336
qsampled,31,0.25914394381106876,0.10987774344473927,0.2508913225039957,0.2673965651181416
runif,31,0.431580209411279,0.13851089046727616,0.42231449283652545,0.44084592598603245
m2,31,0.3344737495129711,0.12453970585697535,0.3256877541688227,0.3432597448571191
actual,31,0.24813454465639992,0.10587872537023937,0.2431168455104391,0.25315224380236057
qsampled,32,0.25531168570816076,0.10881261981095842,0.24722854960927904,0.26339482180704227
runif,32,0.4314102932396206,0.13914139423122132,0.42226982522392453,0.44055076125531667
m2,32,0.329708404736017,0.12376586659992614,0.3210877410705421,0.3383290684014914
actual,32,0.24638200968591722,0.10500289822590372,0.2414398704360179,0.25132414893581645
qsampled,33,0.25206512896121747,0.10709786960234359,0.24416841871078881,0.259961839211646
runif,33,0.42808484173417527,0.1384706967597003,0.41910570209019615,0.4370639813781547
m2,33,0.32385775160827623,0.12237270756700915,0.31541667053323574,0.33229883268331617
actual,33,0.2439881901620357,0.1038334670513007,0.23913841018003926,0.24883797014403206
qsampled,34,0.2562965422233554,0.11004447560370023,0.24841057300659702,0.2641825114401137
runif,34,0.4389364035578785,0.14138726456383127,0.42999766776153925,0.44787513935421774
m2,34,0.3278129775689321,0.12553676967421631,0.31939017871394243,0.3362357764239214
actual,34,0.2496674412466967,0.10799143794361926,0.2448633263366226,0.2544715561567708
qsampled,35,0.25395078978288876,0.10862198494249942,0.24622873196668715,0.26167284759909004
runif,35,0.4372721815815698,0.14071139768745408,0.42848319462398715,0.44606116853915284
m2,35,0.3249077453512422,0.12436658197800173,0.3166449683725071,0.333170522329977
actual,35,0.2486898079950401,0.10693316361497321,0.24396790244616942,0.2534117135439106
qsampled,36,0.25378738114211064,0.11025638275862117,0.24611629717379976,0.2614584651104213
runif,36,0.44257909913205756,0.1430377426897897,0.43384173993008784,0.45131645833402784
m2,36,0.32883275546213536,0.12792963112498643,0.3205697043282293,0.3370958065960413
actual,36,0.24843177822049375,0.10781518860487158,0.2437349685849166,0.2531285878560708
qsampled,37,0.25094637659140373,0.10906617213134194,0.2434206520809109,0.25847210110189656
runif,37,0.44133630576851146,0.14294157900070611,0.4327207644732295,0.4499518470637941
m2,37,0.32699445403983113,0.12740679891193907,0.31886053991600843,0.33512836816365393
actual,37,0.2483169772360716,0.1074008861807175,0.24364818565468668,0.25298576881745644
qsampled,38,0.2501583140495247,0.10864120868146575,0.24274678579235762,0.25756984230669183
runif,38,0.44285048193249804,0.14266052512490265,0.4343574573025997,0.4513435065623968
m2,38,0.33404723156509875,0.12955359428665345,0.3259537532472585,0.3421407098829392
actual,38,0.24825220904519651,0.10737874967512398,0.24358734777605165,0.25291707031434135
qsampled,39,0.25809982923705954,0.11458199423729212,0.2505866044380446,0.2656130540360744
runif,39,0.44974405463226513,0.14543305336629866,0.4412795849047228,0.458208524359808
m2,39,0.3415440679742382,0.13334468077753242,0.3334390115419977,0.3496491244064787
actual,39,0.25800237725340003,0.11482055245076238,0.25334718618353846,0.2626575683232615
qsampled,40,0.2609768107695371,0.11573809425585355,0.25352079220172574,0.26843282933734824
runif,40,0.4489384800089663,0.14506803510034874,0.44059101356828845,0.45728594644964415
m2,40,0.3434667174470554,0.13424561218206404,0.3354366560248443,0.3514967788692669
actual,40,0.2584447438341738,0.11472844246394684,0.25385480215431916,0.26303468551402837
qsampled,41,0.2580813252571558,0.11419894963845431,0.2507659545965577,0.26539669591775394
runif,41,0.441928946814787,0.14465664391100824,0.43369563669633876,0.4501622569332356
m2,41,0.33926485790421207,0.13259743337662022,0.3313821970762176,0.3471475187322068
actual,41,0.2581497496745603,0.11459648093925556,0.25356715576886246,0.262732343580258
qsampled,42,0.25634774211611244,0.1138119482139031,0.24913226644760514,0.26356321778461944
runif,42,0.44281754331919687,0.1443882982645212,0.43469041650060697,0.4509446701377869
m2,42,0.33388255970014347,0.13221612815393247,0.3261055389939944,0.34165958040629285
actual,42,0.25828366413611425,0.11463127910770315,0.2537438055539899,0.2628235227182385
qsampled,43,0.25888064233020264,0.11550693598897775,0.25169668025276,0.2660646044076452
runif,43,0.44615442550918194,0.14534121434832933,0.4380959221452715,0.4542129288730927
m2,43,0.3356165175636481,0.13334209534221994,0.32789782688916724,0.34333520823812935
actual,43,0.25906808126630904,0.11511161946885902,0.25455303622357395,0.263583126309044
qsampled,44,0.2625461561811887,0.11832293218327887,0.25535827381658277,0.2697340385457944
runif,44,0.44740463285790427,0.14646544546089096,0.4394075041155694,0.45540176160023904
m2,44,0.339271042765076,0.13559454927517495,0.33157641500302804,0.34696567052712424
actual,44,0.26901902408586975,0.11920016408624488,0.26451115362679145,0.27352689454494783
qsampled,45,0.26156133419197714,0.11727983092864931,0.2544851860204769,0.26863748236347695
runif,45,0.4438977243499508,0.14556879978062204,0.43601421833551385,0.4517812303643877
m2,45,0.336343916197457,0.13448635641191511,0.328766443740404,0.3439213886545104
actual,45,0.26759513789253064,0.11831111152367252,0.263141116466262,0.27204915931879897
qsampled,46,0.25803214757910803,0.11663800627704778,0.25105253418600443,0.2650117609722114
runif,46,0.44083065425538664,0.14656460067899393,0.4330067078270073,0.4486546006837658
m2,46,0.33236089628012105,0.13444545360178814,0.32486740193448277,0.33985439062575956
actual,46,0.26714383478573683,0.11823052239217668,0.2626990843217046,0.2715885852497691
qsampled,47,0.2672235042616502,0.1229001466027761,0.2601356252632173,0.27431138326008275
runif,47,0.447215017184821,0.14948209338307034,0.439398114956491,0.4550319194131514
m2,47,0.34247000417070106,0.1400049451146587,0.3349049545290894,0.3500350538123128
actual,47,0.2662020245964474,0.11903480034576414,0.26181725822317753,0.2705867909697171
qsampled,48,0.26635410128797027,0.12221444476700036,0.25936005489463954,0.273348147681301
runif,48,0.44766713232084937,0.14912820747602548,0.4399412669124484,0.45539299772925035
m2,48,0.3391108035120655,0.13916612778045576,0.3316474500365115,0.3465741569876195
actual,48,0.26610267579949365,0.11898809930678332,0.2617217158763275,0.2704836357226598
qsampled,49,0.26948839478582515,0.1246891672055401,0.2624963683402364,0.2764804212314138
runif,49,0.44499023870551524,0.14986749759792206,0.43732470446371774,0.45265577294731285
m2,49,0.3406463113404175,0.1411482339892105,0.33320710809015014,0.34808551459068476
actual,49,0.26689235773185,0.11939013673190382,0.2625335524559356,0.27125116300776436
qsampled,50,0.26805186294023026,0.12620608915937417,0.26108815065474994,0.2750155752257106
runif,50,0.44835780972327993,0.1521451826548049,0.44071188940386696,0.45600373004269323
m2,50,0.3385235306833672,0.14222031415015812,0.33113119837346694,0.3459158629932676
actual,50,0.2566455799860744,0.11906024249520582,0.2524327941429645,0.2608583658291842
qsampled,51,0.2679108865877849,0.12555675284104292,0.2610335609946105,0.2747882121809593
runif,51,0.45056840176066204,0.15244992001406274,0.44299025261564234,0.4581465509056814
m2,51,0.3397342895386913,0.14191431308114627,0.3324226857768239,0.3470458933005587
actual,51,0.2566008688495603,0.11874346613668402,0.252408065163007,0.2607936725361136
