questions asked,auc,z_auc,z_auc_lb,z_auc_ub
1.0,0.6235828328997991,0.635768622077339,0.5900551499614252,0.681579254387411
6.0,0.8254011232484944,0.8531889998872298,0.8056419922352479,0.9009247518632127
11.0,0.8821806905546494,0.9010584333239094,0.8652317361968636,0.9369060734658103
16.0,0.9030249567108651,0.9187180719450062,0.8882085544798756,0.949379113134039
21.0,0.9273030455880534,0.9344187221417299,0.9086132173194801,0.9604492843037052
26.0,0.9486370976826296,0.9522897955310317,0.9351335424350924,0.9694553279788282
31.0,0.9600326347709687,0.9620546206281312,0.9474221851162093,0.9766948692030349
36.0,0.9714427819153073,0.9710294622987662,0.960843828943086,0.9812213470699772
41.0,0.9693774066052571,0.9700150998161856,0.962469282509264,0.9775663415725151
46.0,0.9774438978936283,0.9766904679033673,0.9713005659048014,0.9820840282741737
51.0,0.9802962496685818,0.9569611079635253,0.9473162207670058,0.9666232683510197
56.0,0.9824893302034181,0.9822942665985832,0.9784543824579308,0.9861863559737922
61.0,0.9870471346946269,0.9845266435845031,0.9812447641189227,0.987811465310492
66.0,0.9838818989214658,0.9178733423964007,0.9020981808392251,0.9336920461725423
71.0,0.9815249639677801,0.9800020418212992,0.9748901636510049,0.9851173940220264
76.0,0.9929330628480332,0.8672623311407159,0.8464493109928434,0.8881527658865349
81.0,0.9920946307048418,0.9086041321925351,0.8937068283831687,0.9235534492841264
86.0,0.9953085452367437,0.8065568352325666,0.7746453709636247,0.8385850893564694
91.0,0.994194416874229,0.8899659874889081,0.8718556922610196,0.9081409890510574
96.0,0.9959112808864768,0.8500779475531436,0.8260797046862146,0.8741661057207631
101.0,0.9946183543616437,0.8071183543616437,0.7762634706755923,0.8380888434342976
