n,variable,mean,var,lower,upper
59,n slowest,0.05356020247895654,1.4910622214342439e-05,0.05079790366142801,0.05632250129648508
60,n fastest,-0.012114890760560607,4.725388698076865e-06,-0.013669930683450102,-0.010559850837671112
60,n slowest,0.05232052169118127,1.0901054133455185e-05,0.0499586460765354,0.054682397305827135
61,n fastest,-0.01817783977858826,6.320276885428658e-06,-0.01997625854806171,-0.01637942100911481
61,n slowest,0.06122648198410584,1.0671996714447339e-05,0.05888955245894868,0.06356341150926298
62,n fastest,-0.022131745205710842,5.972668190379132e-06,-0.023880009018761632,-0.020383481392660052
62,n slowest,0.056174859992005,1.0340658373153403e-05,0.0538744943661009,0.05847522561790907
63,n fastest,-0.03803942824206459,5.535838767962512e-06,-0.03972254595507922,-0.03635631052904996
63,n slowest,0.0827093616450422,9.516882064653928e-06,0.08050252535085567,0.08491619793922872
64,n fastest,-0.05315994728477288,5.139831953150619e-06,-0.0547817470533437,-0.05153814751620205
64,n slowest,0.07104715276455739,1.4514446644460907e-05,0.06832179817242964,0.07377250735668517
65,n fastest,-0.06746363842990664,4.782655221845096e-06,-0.06902807266474036,-0.06589920419507296
65,n slowest,0.020591873547096278,1.3197521111620803e-05,0.017993096892012204,0.023190650202180346
66,n fastest,-0.06512408971620405,6.8227723863664135e-06,-0.06699263322874767,-0.06325554620366046
66,n slowest,0.00806149665157244,1.2876354915592807e-05,0.005494535810777825,0.010628457492367054
67,n fastest,-0.07898298370030213,6.356343830936279e-06,-0.0807865265489452,-0.07717944085165905
67,n slowest,-0.020137989263727517,1.0928577984490041e-05,-0.022502844724598164,-0.01777313380285687
68,n fastest,-0.09209635724873094,5.93454489746656e-06,-0.09383903258210553,-0.09035368191535632
68,n slowest,-0.02459479621013555,1.0725469576696058e-05,-0.02693757310254448,-0.022252019317726614
69,n fastest,-0.09330914719936398,5.631748189640209e-06,-0.09500678246407726,-0.0916115119346507
69,n slowest,-0.07685908989540444,8.104023363350929e-06,-0.07889553691688804,-0.07482264287392083
70,n fastest,-0.10567567384542376,5.266906704188414e-06,-0.10731739950793986,-0.1040339481829077
70,n slowest,-0.08010336742828833,8.077392755713054e-06,-0.0821364657151199,-0.07807026914145676
71,n fastest,-0.03203003806025854,6.201113147922415e-06,-0.03381142228474659,-0.030248653835770477
71,n slowest,-0.05965936621179122,7.617455484759009e-06,-0.061633732543875025,-0.05768499987970739
72,n fastest,-0.023811403793520303,7.575090478200875e-06,-0.025780272183060334,-0.021842535403980273
72,n slowest,-0.0593172141167164,7.533352496953828e-06,-0.061280650881297,-0.0573537773521358
73,n fastest,0.041869723377846405,8.410572068659585e-06,0.03979511779432408,0.043944328961368746
73,n slowest,-0.0605776637585809,7.512543107220773e-06,-0.06253838684585936,-0.05861694067130245
74,n fastest,0.0839177539161294,7.092090021402649e-06,0.08201268849634136,0.08582281933591748
74,n slowest,-0.06530946386630496,7.472002064687009e-06,-0.06726488932747648,-0.06335403840513343
75,n fastest,0.07951117485919586,6.807002620398027e-06,0.07764479201820358,0.08137755770018813
75,n slowest,-0.040958330294290586,6.9625184104103505e-06,-0.04284591283822353,-0.039070747750357654
76,n fastest,0.06612067769144209,6.564557490992096e-06,0.06428783369128013,0.06795352169160404
76,n slowest,-0.04154987267790737,6.968568793759876e-06,-0.04343827519223699,-0.03966147016357777
77,n fastest,0.05329086817136267,6.339139986234486e-06,0.051489767677561346,0.05509196866516401
77,n slowest,-0.037665183865937577,7.180879584789155e-06,-0.03958213744532953,-0.035748230286545626
78,n fastest,0.07323086843199081,1.2655551363412971e-05,0.07068601186602143,0.07577572499796019
78,n slowest,-0.04380059852812363,7.228210040236326e-06,-0.045723859222872025,-0.04187733783337524
79,n fastest,0.10299502613659035,2.0729495773460226e-05,0.09973803075059862,0.10625202152258209
79,n slowest,-0.04450323644553644,7.405651746294047e-06,-0.046449960596680585,-0.0425565122943923
80,n fastest,0.1183071232635667,2.025277041707407e-05,0.1150877969902016,0.1215264495369318
80,n slowest,-0.044093875126637094,7.520119395047606e-06,-0.046055586644788496,-0.04213216360848568
81,n fastest,0.13741584033133644,1.713851316032971e-05,0.13445435664052247,0.14037732402215047
81,n slowest,-0.0686602021874376,1.0376784836016159e-05,-0.07096458262618506,-0.06635582174869013
82,n fastest,0.12917890328153614,1.7439939196664552e-05,0.12619149034468818,0.1321663162183841
82,n slowest,-0.07492416730970822,1.0931983010308416e-05,-0.07728939115184436,-0.07255894346757208
83,n fastest,0.12130278453873611,1.7737752932863287e-05,0.11828997224499645,0.12431559683247582
83,n slowest,-0.058207273861057104,5.519134946185381e-06,-0.05988785033870584,-0.05652669738340837
84,n fastest,0.14437770817848317,1.567543705229017e-05,0.14154545154056394,0.1472099648164024
84,n slowest,-0.07506625393001927,5.801951273302346e-06,-0.07678935127277449,-0.07334315658726408
85,n fastest,0.13643760200761906,1.5968387186541492e-05,0.1335790025870441,0.13929620142819402
85,n slowest,-0.06811525277130843,3.955984887955786e-06,-0.06953807318024251,-0.06669243236237439
86,n fastest,0.12837165034749404,1.545141938351288e-05,0.12555970442542358,0.1311835962695645
86,n slowest,-0.07056217324444722,3.811059910059394e-06,-0.071958688428623,-0.0691656580602714
87,n fastest,0.12080885453899867,1.5740988597346213e-05,0.11797068211366717,0.12364702696433023
87,n slowest,-0.06805655782105888,3.7119254717050704e-06,-0.06943479003950692,-0.06667832560261086
88,n fastest,0.11355799993729196,1.602593952442638e-05,0.11069425375058445,0.11642174612399947
88,n slowest,-0.0692052637688863,3.6112004447980056e-06,-0.07056466785732723,-0.0678458596804454
89,n fastest,0.1017710580386377,1.560113270243743e-05,0.09894552207369256,0.10459659400358284
89,n slowest,-0.05283309494680969,3.536832485532573e-06,-0.05417842864171068,-0.051487761251908674
90,n fastest,0.090323548555888,1.5195123743856215e-05,0.08753502129394501,0.09311207581783103
90,n slowest,-0.05808263409792676,3.436514263303968e-06,-0.05940875111943519,-0.05675651707641833
91,n fastest,0.09576683545137707,1.4320502997764488e-05,0.0930597503394427,0.0984739205633114
91,n slowest,-0.06053446192948864,3.4055395923141856e-06,-0.061854589012726634,-0.05921433484625064
92,n fastest,0.11211742906191376,1.3112045390915579e-05,0.1095270817604714,0.1147077763633561
92,n slowest,-0.0565884571035145,3.424287095898184e-06,-0.05791221285102725,-0.05526470135600177
93,n fastest,0.14916202881684534,1.439275869532476e-05,0.14644812284776967,0.151875934785921
93,n slowest,-0.052276426698818844,3.4683462073321258e-06,-0.053608671380031614,-0.05094418201760606
94,n fastest,0.142656030659625,2.484325715479584e-05,0.13909047646796904,0.14622158485128098
94,n slowest,-0.05338214849096194,3.438903486266745e-06,-0.054708726421182685,-0.052055570560741185
95,n fastest,0.13520770239149704,2.4089792534011338e-05,0.13169663387934788,0.1387187709036462
95,n slowest,-0.05028007050235824,3.4204457739855112e-06,-0.0516030835553068,-0.04895705744940968
96,n fastest,0.13957834493226834,2.213237464538773e-05,0.1362129442325898,0.14294374563194687
96,n slowest,-0.036219271509277326,1.832580231688833e-06,-0.037187670376716234,-0.03525087264183842
97,n fastest,0.1348968517023117,2.138653454421354e-05,0.13158864236641044,0.13820506103821284
97,n slowest,-0.02929684728823312,1.7706984529146301e-06,-0.03024875551031966,-0.028344939066146577
98,n fastest,0.13391199851217683,2.0500042840778976e-05,0.13067307898053124,0.13715091804382243
98,n slowest,-0.028588923979722618,4.238802207334865e-06,-0.030061725928132138,-0.02711612203131311
99,n fastest,0.13922230214649267,1.9892720700830007e-05,0.1360317204704076,0.14241288382257775
99,n slowest,-0.02162320949664591,4.109829715771877e-06,-0.02307343216107002,-0.020172986832221792
