n,variable,mean,var,lower,upper
3,n fastest,-0.6041909705316695,1.8965781162003605e-05,-0.6073063298304849,-0.601075611232854
3,n slowest,-0.36460962223862153,0.0004103424726965378,-0.3791005439354683,-0.35011870054177474
4,n fastest,-0.7077458586348591,1.0109753357189255e-05,-0.7100203958885387,-0.7054713213811796
4,n slowest,-0.6591757765195825,7.05703184011607e-05,-0.6651852138789708,-0.6531663391601944
5,n fastest,-0.7213751767375338,6.818617370459212e-06,-0.7232431511991135,-0.7195072022759541
5,n slowest,0.4660545293841508,0.00039141503544166235,0.4519017568641806,0.48020730190412125
6,n fastest,-0.6502037714738925,2.845885375438195e-06,-0.6514105608439893,-0.6489969821037957
6,n slowest,0.015514680650050872,0.0008822391997235893,-0.0057332161998348615,0.036762577499936604
7,n fastest,-0.6902425221920656,2.054196728968804e-06,-0.6912678052730447,-0.6892172391110863
7,n slowest,0.016191807673304297,0.0003738309689716268,0.0023605901237152265,0.030023025222893365
8,n fastest,-0.6508328622135607,1.1647153883569295e-06,-0.6516048895543909,-0.6500608348727306
8,n slowest,-0.38154268437849875,0.00031949559553838395,-0.3943292882769256,-0.3687560804800719
9,n fastest,-0.26533888621755536,5.3247945530159635e-06,-0.2669896092162426,-0.2636881632188681
9,n slowest,-0.22351750382690438,0.00011358748168047991,-0.23114159374375523,-0.21589341391005343
10,n fastest,-0.05172226573790974,6.414320912103807e-06,-0.05353401509631426,-0.04991051637950523
10,n slowest,0.04590501441558677,4.9288939919721454e-05,0.04088277383423936,0.05092725499693416
11,n fastest,-0.07432808598489567,3.4609297381338366e-06,-0.07565890551436796,-0.07299726645542337
11,n slowest,0.0037345145834397297,2.369323030581168e-05,0.0002524653124315228,0.0072165638544479365
12,n fastest,-0.07125814660333432,1.7368728309533917e-06,-0.07220091884073364,-0.070315374365935
12,n slowest,-0.28625447653253955,4.4788654239188844e-05,-0.2910419544177144,-0.2814669986473647
13,n fastest,-0.10732080822562014,1.0799042415107256e-06,-0.10806419597108471,-0.10657742048015559
13,n slowest,-0.2359943016268676,2.6188829274160447e-05,-0.23965514220231185,-0.23233346105142347
14,n fastest,-0.1629758814059563,8.893443392149714e-07,-0.16365049912931826,-0.16230126368259426
14,n slowest,-0.2025590267365951,1.6352157108402184e-05,-0.2054517727228978,-0.19966628075029239
15,n fastest,-0.2393110077949033,9.491424277332647e-07,-0.24000793668480105,-0.2386140789050055
15,n slowest,-0.15036921518280097,8.64979929852936e-06,-0.15247311855367268,-0.14826531181192926
16,n fastest,-0.31217458608092585,9.736207454720562e-07,-0.3128804446374456,-0.311468727524406
16,n slowest,-0.1417155815969743,6.218194430744238e-06,-0.14349941759114807,-0.1399317456028006
17,n fastest,-0.36749998232616315,9.713458863502915e-07,-0.36820501578326675,-0.36679494886905945
17,n slowest,-0.27886669844205897,5.1272073259925795e-06,-0.2804865052266506,-0.27724689165746746
18,n fastest,-0.41343892232967894,9.479587734108278e-07,-0.41413541652178265,-0.4127424281375752
18,n slowest,-0.28239396738382283,5.848139956774215e-06,-0.28412390982268443,-0.2806640249449611
19,n fastest,-0.1043747460184733,1.430028499382091e-05,-0.10707991949402734,-0.1016695725429193
19,n slowest,-0.24350245887340005,4.0340073245346715e-06,-0.2449392416568781,-0.242065676089922
20,n fastest,-0.012002636608439485,1.713758372059003e-05,-0.014964039995964528,-0.009041233220914439
20,n slowest,-0.21688195545097658,3.360564992675189e-06,-0.21819333656130827,-0.2155705743406449
21,n fastest,-0.04536969698377884,1.4240772392090099e-05,-0.04806923561503895,-0.04267015835251872
21,n slowest,-0.13376971430715326,2.3891038410019003e-06,-0.1348754218885423,-0.13266400672576423
22,n fastest,-0.08047827725862047,1.4932930677084415e-05,-0.08324264170451388,-0.07771391281272706
22,n slowest,-0.08246044709755077,2.0666415980797064e-06,-0.08348883120745088,-0.08143206298765066
23,n fastest,-0.11218578033770607,1.2708973357384106e-05,-0.11473600245985696,-0.10963555821555515
23,n slowest,-0.0708035210038562,2.075549408538111e-06,-0.07183411904400555,-0.06977292296370685
24,n fastest,-0.1316464328089632,1.0736505577948586e-05,-0.1339904146948267,-0.12930245092309972
24,n slowest,-0.07443849534139042,1.865448909564734e-06,-0.07541554008747897,-0.07346145059530187
25,n fastest,-0.1817876470299663,9.171610519499531e-06,-0.18395408159430107,-0.17962121246563154
25,n slowest,-0.15870857273591105,1.9172671053105827e-06,-0.15969909464193754,-0.1577180508298846
26,n fastest,-0.2229306169552104,8.03850611699254e-06,-0.22495881540957724,-0.22090241850084358
26,n slowest,-0.15053691205716116,2.656436963948876e-06,-0.15170284220329028,-0.14937098191103204
27,n fastest,-0.18250727979090034,7.653498670214925e-06,-0.18448631162260526,-0.18052824795919542
27,n slowest,-0.12406305999354254,2.7609038010582414e-06,-0.12525169471248548,-0.12287442527459957
28,n fastest,-0.0913938026624154,4.868481382248012e-06,-0.09297221159817157,-0.08981539372665923
28,n slowest,-0.11923966826124803,3.076383806653174e-06,-0.12049437731692302,-0.1179849592055731
29,n fastest,0.017338803046312558,6.193425176256555e-06,0.015558523420184055,0.01911908267244106
29,n slowest,-0.08152678026055664,3.0668593853364307e-06,-0.08277954553380634,-0.08027401498730691
30,n fastest,-0.028079153355833063,5.7243570995705395e-06,-0.02979068972970707,-0.026367616981959056
30,n slowest,-0.07719524585351971,3.1971691135069083e-06,-0.078474349033149,-0.07591614267389042
31,n fastest,-0.03773947841446928,5.212821062980239e-06,-0.039372752919309424,-0.03610620390962913
31,n slowest,-0.06373660589575195,3.552464044381309e-06,-0.06508490926453231,-0.06238830252697159
32,n fastest,-0.04621200750740599,4.721544141811818e-06,-0.04776641471462246,-0.04465760030018954
32,n slowest,-0.06521390299858666,3.8682027372148505e-06,-0.0666208488657133,-0.06380695713146002
33,n fastest,-0.08518077149393903,4.4048490271843955e-06,-0.08668214341058676,-0.08367939957729127
33,n slowest,-0.06875764139729251,3.1217787846999995e-06,-0.07002157376744228,-0.06749370902714275
34,n fastest,-0.11942213454502933,4.142888404284989e-06,-0.12087817818482886,-0.11796609090522982
34,n slowest,-0.046407312072790946,2.9014990543290014e-06,-0.04762583580161761,-0.045188788343964295
35,n fastest,-0.15038133318291025,3.914347509084621e-06,-0.15179664607801982,-0.14896602028780068
35,n slowest,-0.02391500182371025,2.777844085119774e-06,-0.025107277563570788,-0.022722726083849714
36,n fastest,-0.17856797397507593,3.711675744237558e-06,-0.17994615983103185,-0.17718978811911995
36,n slowest,-0.02972085804007273,2.5713043134803292e-06,-0.030867953374363846,-0.0285737627057816
37,n fastest,-0.203518051186508,3.5409923669514023e-06,-0.2048641758128505,-0.20217192656016542
37,n slowest,-0.010686086482968715,1.432339755973916e-06,-0.011542228471974296,-0.009829944493963133
38,n fastest,-0.20348372425320993,3.264965039365745e-06,-0.20477631797373905,-0.2021911305326808
38,n slowest,-0.022425590433814986,1.4720925351563049e-06,-0.023293531684006944,-0.021557649183623035
39,n fastest,-0.17935231941633764,3.3823075832003414e-06,-0.18066793595318692,-0.1780367028794883
39,n slowest,-0.021184019098497077,1.6161859470922267e-06,-0.022093447341078928,-0.02027459085591522
40,n fastest,-0.1844676108002527,3.179984681541189e-06,-0.18574327182897615,-0.1831919497715292
40,n slowest,-0.038369055942242776,6.444168368812259e-06,-0.0401850156722335,-0.03655309621225205
41,n fastest,-0.1835875885723449,2.981113575399747e-06,-0.1848227167659715,-0.18235246037871822
41,n slowest,-0.035082844864075084,5.641131779750267e-06,-0.03678189383576543,-0.033383795892384736
42,n fastest,-0.18354613426602656,2.956070005932457e-06,-0.18477606352052692,-0.1823162050115262
42,n slowest,-0.030572677595678943,5.492680233235669e-06,-0.03224922150545017,-0.028896133685907717
43,n fastest,-0.17551890213150387,5.22155935552935e-06,-0.17715354499852187,-0.17388425926448586
43,n slowest,-0.01736969941668577,5.48087757483123e-06,-0.01904444108096027,-0.015694957752411275
44,n fastest,-0.12043533278723664,1.0647383431224766e-05,-0.12276956587642965,-0.11810109969804367
44,n slowest,-0.022683276196195527,5.6327425925031145e-06,-0.024381061330789197,-0.020985491061601858
45,n fastest,-0.14191729393059174,1.0013155854346012e-05,-0.1441809386347536,-0.13965364922642984
45,n slowest,0.011402183905755455,5.279472920314743e-06,0.009758500928447265,0.013045866883063644
46,n fastest,-0.16229022415637584,9.430107779819488e-06,-0.16448697651999145,-0.16009347179276018
46,n slowest,0.023305813759612874,5.29726812234884e-06,0.02165936298095147,0.024952264538274278
47,n fastest,-0.12980163889835467,8.520949992014777e-06,-0.13188981337126124,-0.1277134644254481
47,n slowest,0.004037343661061508,5.453435725989506e-06,0.002366799835315069,0.005707887486807947
48,n fastest,-0.137971154435722,9.282977814742302e-06,-0.14015070239811728,-0.13579160647332672
48,n slowest,-0.0075611520120903485,6.3885246574013885e-06,-0.009369254575084566,-0.0057530494490961315
49,n fastest,-0.10395001444440614,5.789661699436823e-06,-0.10567128590508504,-0.10222874298372725
49,n slowest,-0.023968776849980923,6.197070312092179e-06,-0.025749580290180936,-0.02218797340978091
50,n fastest,-0.11253616868493935,6.308342871374216e-06,-0.11433288875543188,-0.11073944861444682
50,n slowest,-0.017612735305068985,6.29372043127141e-06,-0.019407371811432084,-0.015818098798705885
51,n fastest,-0.10826543993403662,9.42914373884124e-06,-0.1104620800076618,-0.10606879986041143
51,n slowest,-0.004911015637645916,6.358076600936851e-06,-0.006714804296779583,-0.00310722697851225
52,n fastest,-0.12735788411926627,8.797087218222118e-06,-0.12947962440771335,-0.12523614383081913
52,n slowest,0.007893242843892248,1.3294114826849684e-05,0.005284973199770114,0.010501512488014382
53,n fastest,-0.14501376833141327,8.243865901878756e-06,-0.14706771060496648,-0.14295982605786006
53,n slowest,0.004253314614210871,1.8739568879631293e-05,0.001156590101982575,0.007350039126439165
54,n fastest,-0.15232118430334007,7.819250660500361e-06,-0.15432153131548712,-0.15032083729119297
54,n slowest,0.03401779501784506,1.7160045810513428e-05,0.031054451522310362,0.03698113851337976
55,n fastest,-0.15822226519472393,8.407912722002452e-06,-0.16029654276657468,-0.15614798762287313
55,n slowest,0.037216303496198457,1.6522401594721455e-05,0.034308538118955643,0.04012406887344127
56,n fastest,-0.10672994104798617,7.616508906358521e-06,-0.10870418470455247,-0.10475569739141986
56,n slowest,0.04290991754301771,1.5954335498243224e-05,0.040052576138926536,0.045767258947108876
57,n fastest,-0.11148954252231588,7.253408789045647e-06,-0.1134161527045682,-0.10956293234006356
57,n slowest,0.049355177416281634,1.5508640990512243e-05,0.046538029532963675,0.052172325299599594
58,n fastest,0.004350641895665931,4.473768580521408e-06,0.0028375701146903334,0.005863713676641529
58,n slowest,0.04827533030120756,1.5323415754764768e-05,0.045475056052617084,0.051075604549798044
59,n fastest,-0.004490778546648179,4.2386418901335674e-06,-0.005963552643118929,-0.0030180044501774287
